Modelo de colisao|nó 1|nó 2|nó 3|nó 4|nó 5|simulacao
0|0.948|0.9570000000000001|0.953|0.846|0.82|PA
1|0.902|0.909|0.9129999999999999|0.741|0.708|PA
2|0.919|0.958|0.925|0.789|0.7440000000000001|PA
0|0.794|0.9159999999999999|0.701|0.73|0.547|PB
1|0.638|0.7290000000000001|0.519|0.519|0.305|PB
2|0.711|0.943|0.596|0.6559999999999999|0.40700000000000003|PB
0|0.912|0.9740000000000001|0.889|0.7040000000000001|0.657|0.1
1|0.8079999999999999|0.8640000000000001|0.616|0.439|0.32799999999999996|0.1
2|0.862|0.98|0.7759999999999999|0.618|0.496|0.1
0|0.932|0.9790000000000001|0.9179999999999999|0.726|0.6829999999999999|0.2
1|0.8540000000000001|0.8959999999999999|0.713|0.489|0.392|0.2
2|0.894|0.982|0.8440000000000001|0.644|0.542|0.2
0|0.9490000000000001|0.982|0.938|0.7490000000000001|0.706|0.3
1|0.889|0.919|0.797|0.536|0.44799999999999995|0.3
2|0.92|0.9840000000000001|0.894|0.669|0.581|0.3
0|0.961|0.9840000000000001|0.9540000000000001|0.768|0.7290000000000001|0.4
1|0.915|0.9359999999999999|0.863|0.5720000000000001|0.498|0.4
2|0.9390000000000001|0.986|0.925|0.691|0.612|0.4
0|0.97|0.986|0.965|0.7809999999999999|0.748|0.5
1|0.9329999999999999|0.9490000000000001|0.914|0.606|0.542|0.5
2|0.9520000000000001|0.987|0.945|0.708|0.642|0.5
0|0.977|0.988|0.973|0.795|0.7609999999999999|0.6
1|0.9470000000000001|0.9590000000000001|0.94|0.635|0.581|0.6
2|0.961|0.9890000000000001|0.9570000000000001|0.7240000000000001|0.664|0.6
0|0.981|0.9890000000000001|0.9790000000000001|0.8029999999999999|0.7759999999999999|0.7
1|0.958|0.965|0.955|0.66|0.611|0.7
2|0.968|0.99|0.966|0.736|0.68|0.7
0|0.985|0.99|0.983|0.813|0.785|0.8
1|0.9640000000000001|0.971|0.965|0.677|0.634|0.8
2|0.973|0.99|0.972|0.747|0.693|0.8
0|0.987|0.99|0.985|0.818|0.792|0.9
1|0.97|0.9740000000000001|0.97|0.691|0.6509999999999999|0.9
2|0.977|0.991|0.976|0.754|0.7020000000000001|0.9
