CastaliaResults -i saida.txt -s Energy nJ/bit -n --all -o2                                                           

Application:Energy nJ/bit
 | node=1 | node=2 | node=3 | node=4 | node=5
InterfModel=0 | 102.752 | 103.044 | 67.357 | 46.057 | 47.027 
InterfModel=1 | 108.034 | 108.545 | 70.316 | 52.628 | 54.479 
InterfModel=2 | 105.913 | 102.929 | 69.388 | 49.388 | 51.84 
Application:Energy nJ/bit - all values
 | node=1 | node=2 | node=3 | node=4 | node=5
InterfModel=0 0 | 102.99 | 103.162 | 66.9523 | 45.3072 | 48.1058 
InterfModel=0 1 | 103.302 | 103.335 | 67.3159 | 46.0685 | 46.5145 
InterfModel=0 2 | 102.282 | 102.64 | 67.3706 | 46.3863 | 46.4955 
InterfModel=0 3 | 102.345 | 101.969 | 67.533 | 47.0997 | 47.1811 
InterfModel=0 4 | 102.725 | 103.59 | 67.1613 | 45.66 | 47.2401 
InterfModel=0 5 | 103.136 | 103.455 | 67.4854 | 46.0967 | 46.8994 
InterfModel=0 6 | 102.315 | 103.19 | 67.6985 | 46.1698 | 46.4238 
InterfModel=0 7 | 102.666 | 102.98 | 67.3263 | 45.9214 | 47.2906 
InterfModel=0 8 | 103.094 | 103.423 | 67.6931 | 45.813 | 47.5829 
InterfModel=0 9 | 103.291 | 102.966 | 67.0464 | 45.1797 | 47.1833 
InterfModel=0 10 | 102.909 | 102.827 | 66.4957 | 45.5778 | 47.7865 
InterfModel=0 11 | 102.41 | 103.277 | 67.4801 | 47.1005 | 45.9489 
InterfModel=0 12 | 103.097 | 102.609 | 66.9958 | 45.7458 | 47.2935 
InterfModel=0 13 | 103.033 | 103.612 | 67.5923 | 46.0074 | 47.0807 
InterfModel=0 14 | 101.551 | 102.731 | 67.4124 | 46.738 | 46.3873 
InterfModel=0 15 | 102.646 | 102.966 | 67.2984 | 46.0991 | 47.2183 
InterfModel=0 16 | 102.869 | 102.899 | 66.9295 | 46.57 | 46.552 
InterfModel=0 17 | 102.629 | 103.39 | 67.7666 | 46.3025 | 46.8914 
InterfModel=0 18 | 102.678 | 103.61 | 67.382 | 46.0478 | 46.2392 
InterfModel=0 19 | 102.081 | 103.768 | 68.0634 | 45.8532 | 46.6895 
InterfModel=0 20 | 102.423 | 103.257 | 67.1775 | 46.2194 | 47.4006 
InterfModel=0 21 | 103.156 | 102.874 | 67.0714 | 46.1267 | 47.0472 
InterfModel=0 22 | 102.787 | 102.957 | 66.9434 | 46.6399 | 45.9582 
