CastaliaResults -i saida.txt -s Consumed Energy -n --all -o2                                                             

ResourceManager:Consumed Energy
 | node=0 | node=1 | node=2 | node=3 | node=4 | node=5
InterfModel=0 | 0.932 | 0.245 | 0.248 | 0.243 | 0.245 | 0.243 
InterfModel=1 | 0.933 | 0.245 | 0.248 | 0.243 | 0.245 | 0.243 
InterfModel=2 | 0.932 | 0.245 | 0.248 | 0.243 | 0.245 | 0.243 
ResourceManager:Consumed Energy - all values
 | node=0 | node=1 | node=2 | node=3 | node=4 | node=5
InterfModel=0 0 | 0.932478 | 0.245088 | 0.248877 | 0.242 | 0.24479 | 0.242372 
InterfModel=0 1 | 0.932468 | 0.245484 | 0.247993 | 0.242354 | 0.246697 | 0.242638 
InterfModel=0 2 | 0.932438 | 0.245723 | 0.248393 | 0.242607 | 0.243801 | 0.241485 
InterfModel=0 3 | 0.932458 | 0.245617 | 0.248053 | 0.243589 | 0.246719 | 0.242826 
InterfModel=0 4 | 0.932531 | 0.245492 | 0.248516 | 0.242474 | 0.245085 | 0.24309 
InterfModel=0 5 | 0.932493 | 0.246735 | 0.248626 | 0.242 | 0.245725 | 0.243819 
InterfModel=0 6 | 0.9325 | 0.243652 | 0.248857 | 0.243276 | 0.246386 | 0.242516 
InterfModel=0 7 | 0.932468 | 0.246042 | 0.24887 | 0.242221 | 0.244598 | 0.243072 
InterfModel=0 8 | 0.932518 | 0.245682 | 0.24881 | 0.243825 | 0.24656 | 0.242656 
InterfModel=0 9 | 0.932456 | 0.24537 | 0.248575 | 0.241665 | 0.244252 | 0.24252 
InterfModel=0 10 | 0.932418 | 0.24576 | 0.2485 | 0.239959 | 0.24472 | 0.243172 
InterfModel=0 11 | 0.93253 | 0.244826 | 0.248721 | 0.243511 | 0.245497 | 0.244551 
InterfModel=0 12 | 0.932445 | 0.245081 | 0.247716 | 0.242214 | 0.245122 | 0.243404 
InterfModel=0 13 | 0.932471 | 0.246229 | 0.248742 | 0.243916 | 0.245326 | 0.244366 
InterfModel=0 14 | 0.932427 | 0.244137 | 0.24732 | 0.243437 | 0.245689 | 0.241624 
InterfModel=0 15 | 0.932455 | 0.245648 | 0.248403 | 0.241895 | 0.245002 | 0.24389 
InterfModel=0 16 | 0.932402 | 0.245663 | 0.248068 | 0.242424 | 0.24504 | 0.242678 
InterfModel=0 17 | 0.932434 | 0.245522 | 0.248385 | 0.243407 | 0.245966 | 0.241926 
InterfModel=0 18 | 0.932531 | 0.245553 | 0.248565 | 0.243157 | 0.245503 | 0.244581 
InterfModel=0 19 | 0.93251 | 0.244553 | 0.248856 | 0.244015 | 0.245544 | 0.243943 
InterfModel=0 20 | 0.932424 | 0.244427 | 0.248324 | 0.241122 | 0.245952 | 0.242642 
InterfModel=0 21 | 0.932544 | 0.245743 | 0.248786 | 0.242825 | 0.245265 | 0.241544 
InterfModel=0 22 | 0.932424 | 0.244691 | 0.248467 | 0.240787 | 0.245095 | 0.243095 
InterfModel=0 23 | 0.932542 | 0.246387 | 0.248747 | 0.243438 | 0.244671 | 0.243165 
InterfModel=0 24 | 0.93252 | 0.245447 | 0.248378 | 0.241795 | 0.24549 | 0.243137 
InterfModel=0 25 | 0.932518 | 0.246092 | 0.248681 | 0.244027 | 0.243584 | 0.241184 
InterfModel=0 26 | 0.932436 | 0.243659 | 0.248404 | 0.242195 | 0.24466 | 0.242892 
InterfModel=0 27 | 0.932482 | 0.244887 | 0.248284 | 0.243754 | 0.245681 | 0.242171 
InterfModel=0 28 | 0.932482 | 0.245831 | 0.248207 | 0.242732 | 0.244896 | 0.242493 
InterfModel=0 29 | 0.932486 | 0.244216 | 0.248249 | 0.242178 | 0.245533 | 0.244079 
InterfModel=0 30 | 0.932467 | 0.24376 | 0.248183 | 0.242918 | 0.24524 | 0.243041 
InterfModel=0 31 | 0.932504 | 0.245547 | 0.248378 | 0.243436 | 0.24654 | 0.243202 
InterfModel=0 32 | 0.93251 | 0.245424 | 0.248736 | 0.242444 | 0.244508 | 0.243045 
InterfModel=0 33 | 0.932537 | 0.243933 | 0.248965 | 0.24145 | 0.246405 | 0.243213 
InterfModel=0 34 | 0.932537 | 0.246499 | 0.248732 | 0.242753 | 0.245169 | 0.242715 
InterfModel=0 35 | 0.932497 | 0.24411 | 0.249109 | 0.244012 | 0.244628 | 0.244243 
InterfModel=0 36 | 0.932496 | 0.244935 | 0.248742 | 0.242741 | 0.24429 | 0.242623 
InterfModel=0 37 | 0.93241 | 0.24578 | 0.248058 | 0.242069 | 0.246018 | 0.243025 
InterfModel=0 38 | 0.932443 | 0.245746 | 0.248708 | 0.243249 | 0.243814 | 0.243219 
InterfModel=0 39 | 0.932452 | 0.245235 | 0.248007 | 0.242395 | 0.24535 | 0.242512 
InterfModel=0 40 | 0.932443 | 0.246244 | 0.248312 | 0.242589 | 0.245195 | 0.243483 
InterfModel=0 41 | 0.932441 | 0.245356 | 0.248713 | 0.24376 | 0.247183 | 0.241916 
InterfModel=0 42 | 0.932434 | 0.244871 | 0.24784 | 0.24291 | 0.245496 | 0.243001 
InterfModel=0 43 | 0.932443 | 0.246745 | 0.248448 | 0.241145 | 0.2473 | 0.241117 
InterfModel=0 44 | 0.932495 | 0.24568 | 0.248428 | 0.243866 | 0.243859 | 0.244232 
InterfModel=0 45 | 0.932515 | 0.24571 | 0.248096 | 0.242805 | 0.244763 | 0.244386 
InterfModel=0 46 | 0.932432 | 0.244717 | 0.248433 | 0.243046 | 0.245102 | 0.243148 
InterfModel=0 47 | 0.932483 | 0.245559 | 0.248101 | 0.242532 | 0.245527 | 0.243192 
InterfModel=0 48 | 0.932442 | 0.244507 | 0.248102 | 0.242714 | 0.245611 | 0.244015 
InterfModel=0 49 | 0.932536 | 0.245019 | 0.248903 | 0.242741 | 0.244428 | 0.24378 
InterfModel=0 50 | 0.932411 | 0.244501 | 0.248391 | 0.243589 | 0.245785 | 0.243287 
InterfModel=0 51 | 0.932501 | 0.246595 | 0.248556 | 0.239823 | 0.245518 | 0.244729 
InterfModel=0 52 | 0.932447 | 0.245056 | 0.248025 | 0.243857 | 0.245169 | 0.243706 
InterfModel=0 53 | 0.932523 | 0.245271 | 0.248732 | 0.242788 | 0.246223 | 0.243056 
InterfModel=0 54 | 0.932441 | 0.245218 | 0.248025 | 0.243062 | 0.245467 | 0.242515 
InterfModel=0 55 | 0.932437 | 0.244532 | 0.247689 | 0.241303 | 0.246227 | 0.242307 
InterfModel=0 56 | 0.932514 | 0.245778 | 0.248911 | 0.242856 | 0.246606 | 0.242352 
InterfModel=0 57 | 0.932544 | 0.244631 | 0.248757 | 0.24184 | 0.246018 | 0.24164 
InterfModel=0 58 | 0.932519 | 0.245906 | 0.24838 | 0.242641 | 0.245437 | 0.241437 
InterfModel=0 59 | 0.932482 | 0.245063 | 0.248907 | 0.242092 | 0.246046 | 0.243139 
InterfModel=0 60 | 0.932471 | 0.244298 | 0.248209 | 0.243306 | 0.244251 | 0.243053 
InterfModel=0 61 | 0.932505 | 0.245241 | 0.248905 | 0.244843 | 0.246384 | 0.242954 
InterfModel=0 62 | 0.932458 | 0.245363 | 0.248711 | 0.242873 | 0.245506 | 0.24266 
InterfModel=0 63 | 0.932433 | 0.246507 | 0.247988 | 0.241064 | 0.244821 | 0.241635 
InterfModel=0 64 | 0.932517 | 0.245533 | 0.248922 | 0.243477 | 0.245367 | 0.244789 
InterfModel=0 65 | 0.93253 | 0.243599 | 0.248758 | 0.242197 | 0.244853 | 0.243722 
InterfModel=0 66 | 0.932545 | 0.245266 | 0.248703 | 0.242816 | 0.246736 | 0.241332 
InterfModel=0 67 | 0.932457 | 0.243993 | 0.248032 | 0.240421 | 0.245279 | 0.242825 
InterfModel=0 68 | 0.932502 | 0.245568 | 0.24827 | 0.243287 | 0.246175 | 0.239302 
InterfModel=0 69 | 0.932444 | 0.246052 | 0.248661 | 0.242437 | 0.242997 | 0.24355 
InterfModel=0 70 | 0.932409 | 0.244292 | 0.247978 | 0.240751 | 0.246263 | 0.240605 
InterfModel=0 71 | 0.932481 | 0.245499 | 0.248528 | 0.24243 | 0.246061 | 0.243588 
InterfModel=0 72 | 0.932442 | 0.245439 | 0.248448 | 0.243824 | 0.245023 | 0.241971 
InterfModel=0 73 | 0.932521 | 0.243781 | 0.248685 | 0.241878 | 0.245727 | 0.242342 
InterfModel=0 74 | 0.932475 | 0.244156 | 0.248267 | 0.242672 | 0.245356 | 0.241755 
InterfModel=0 75 | 0.932487 | 0.246657 | 0.248479 | 0.241935 | 0.245712 | 0.24336 
InterfModel=0 76 | 0.932443 | 0.246969 | 0.248522 | 0.242236 | 0.24527 | 0.24234 
