CastaliaResults -i saida.txt -s Estimated network lifetime --all -o2                                                                     

ResourceManager:Estimated network lifetime (days)
 | InterfModel=0 | InterfModel=1 | InterfModel=2
 | 69.939 | 69.936 | 69.938 
ResourceManager:Estimated network lifetime (days) - all values
 | InterfModel=0 | InterfModel=1 | InterfModel=2
 0 | 69.9402 | 69.9318 | 69.9341 
 1 | 69.94 | 69.9322 | 69.9391 
 2 | 69.9439 | 69.9407 | 69.9401 
 3 | 69.9422 | 69.9321 | 69.9422 
 4 | 69.9352 | 69.9352 | 69.9428 
 5 | 69.9381 | 69.9372 | 69.94 
 6 | 69.9374 | 69.9392 | 69.9343 
 7 | 69.9399 | 69.9358 | 69.9351 
 8 | 69.9361 | 69.9385 | 69.9398 
 9 | 69.9409 | 69.9367 | 69.9373 
 10 | 69.9438 | 69.9342 | 69.9392 
 11 | 69.9352 | 69.9388 | 69.9369 
 12 | 69.9416 | 69.9416 | 69.9384 
 13 | 69.9397 | 69.9323 | 69.9331 
 14 | 69.9432 | 69.931 | 69.9355 
 15 | 69.9408 | 69.9421 | 69.9395 
 16 | 69.9449 | 69.9403 | 69.935 
 17 | 69.9425 | 69.934 | 69.9396 
 18 | 69.9354 | 69.9348 | 69.9349 
 19 | 69.9367 | 69.9358 | 69.9415 
 20 | 69.9432 | 69.9327 | 69.9423 
 21 | 69.9342 | 69.9416 | 69.9413 
 22 | 69.9445 | 69.9325 | 69.9392 
 23 | 69.9344 | 69.9313 | 69.9417 
 24 | 69.9359 | 69.9408 | 69.9331 
 25 | 69.9362 | 69.931 | 69.9333 
 26 | 69.9423 | 69.9346 | 69.9364 
 27 | 69.9391 | 69.9321 | 69.9355 
 28 | 69.9391 | 69.9335 | 69.9425 
 29 | 69.9386 | 69.9371 | 69.9355 
 30 | 69.94 | 69.9397 | 69.9346 
 31 | 69.9376 | 69.9336 | 69.9349 
 32 | 69.9367 | 69.9306 | 69.9387 
 33 | 69.9349 | 69.9353 | 69.9387 
 34 | 69.9351 | 69.9342 | 69.9332 
 35 | 69.9377 | 69.9393 | 69.9327 
 36 | 69.9382 | 69.9398 | 69.9341 
 37 | 69.9442 | 69.9324 | 69.9361 
 38 | 69.9418 | 69.9362 | 69.9343 
 39 | 69.9444 | 69.9404 | 69.9424 
 40 | 69.9418 | 69.937 | 69.936 
 41 | 69.9418 | 69.9396 | 69.9401 
 42 | 69.9439 | 69.9395 | 69.9436 
 43 | 69.9419 | 69.9343 | 69.9424 
 44 | 69.9379 | 69.9411 | 69.9347 
 45 | 69.9365 | 69.9376 | 69.9392 
 46 | 69.9426 | 69.9343 | 69.934 
 47 | 69.9389 | 69.9375 | 69.9425 
 48 | 69.9418 | 69.9351 | 69.9352 
 49 | 69.9347 | 69.9352 | 69.943 
 50 | 69.9441 | 69.9326 | 69.9425 
 51 | 69.9376 | 69.9373 | 69.9369 
 52 | 69.9414 | 69.9305 | 69.9334 
 53 | 69.9361 | 69.9412 | 69.9429 
 54 | 69.9419 | 69.9412 | 69.9371 
 55 | 69.9423 | 69.9404 | 69.9377 
 56 | 69.9364 | 69.935 | 69.9434 
 57 | 69.9344 | 69.9415 | 69.9329 
 58 | 69.9361 | 69.9353 | 69.9363 
 59 | 69.9388 | 69.9403 | 69.9399 
 60 | 69.9398 | 69.9338 | 69.936 
 61 | 69.9372 | 69.9357 | 69.934 
 62 | 69.9406 | 69.9406 | 69.9369 
 63 | 69.943 | 69.9362 | 69.9417 
 64 | 69.9364 | 69.9351 | 69.9383 
 65 | 69.9355 | 69.931 | 69.9432 
 66 | 69.9342 | 69.9348 | 69.9384 
 67 | 69.9407 | 69.9315 | 69.9372 
 68 | 69.9376 | 69.9362 | 69.9385 
 69 | 69.942 | 69.931 | 69.9353 
 70 | 69.9443 | 69.9309 | 69.9331 
 71 | 69.939 | 69.9347 | 69.9427 
 72 | 69.9439 | 69.9392 | 69.9357 
 73 | 69.9359 | 69.9355 | 69.9332 
 74 | 69.9396 | 69.9324 | 69.9365 
 75 | 69.9402 | 69.9398 | 69.9349 
 76 | 69.9418 | 69.9419 | 69.9378 
 77 | 69.9454 | 69.9326 | 69.9355 
 78 | 69.9425 | 69.933 | 69.9351 
 79 | 69.937 | 69.9334 | 69.9422 
 80 | 69.935 | 69.9327 | 69.9331 
 81 | 69.9449 | 69.9349 | 69.9334 
 82 | 69.935 | 69.9325 | 69.9344 
 83 | 69.9429 | 69.9409 | 69.9431 
 84 | 69.9412 | 69.9399 | 69.9401 
 85 | 69.9428 | 69.9411 | 69.9369 
 86 | 69.9346 | 69.9318 | 69.937 
 87 | 69.9433 | 69.9325 | 69.9333 
 88 | 69.9413 | 69.9389 | 69.9406 
 89 | 69.9355 | 69.9374 | 69.9406 
 90 | 69.9367 | 69.9366 | 69.9405 
 91 | 69.9343 | 69.9359 | 69.9415 
 92 | 69.9412 | 69.9359 | 69.9391 
 93 | 69.938 | 69.941 | 69.9328 
 94 | 69.941 | 69.9316 | 69.9434 
 95 | 69.9405 | 69.9408 | 69.9388 
 96 | 69.938 | 69.9339 | 69.9429 
 97 | 69.9364 | 69.9403 | 69.942 
 98 | 69.938 | 69.9323 | 69.9399 
 99 | 69.9354 | 69.9316 | 69.9358 

