CastaliaResults -i saida.txt -s Packets loss rate -n --all -o2                                                               

Application:Packets loss rate - total
 | index=1 | index=2 | index=3 | index=4 | index=5
InterfModel=0 | 0.052 | 0.043 | 0.047 | 0.154 | 0.18 
InterfModel=1 | 0.098 | 0.091 | 0.087 | 0.259 | 0.292 
InterfModel=2 | 0.081 | 0.042 | 0.075 | 0.211 | 0.256 
Application:Packets loss rate - all values
 | index=1 | index=2 | index=3 | index=4 | index=5
InterfModel=0 0 | 0.0553518 | 0.0423474 | 0.0435652 | 0.142286 | 0.20016 
InterfModel=0 1 | 0.0566856 | 0.0473491 | 0.0473439 | 0.149887 | 0.17189 
InterfModel=0 2 | 0.0463488 | 0.0393465 | 0.0471216 | 0.165733 | 0.17549 
InterfModel=0 3 | 0.0473491 | 0.0343448 | 0.0455657 | 0.168422 | 0.182958 
InterfModel=0 4 | 0.0513505 | 0.0476826 | 0.0446766 | 0.147773 | 0.182982 
InterfModel=0 5 | 0.0503501 | 0.0460153 | 0.0511225 | 0.153754 | 0.17458 
InterfModel=0 6 | 0.0546849 | 0.0426809 | 0.049122 | 0.15282 | 0.170689 
InterfModel=0 7 | 0.0486829 | 0.0406802 | 0.0480106 | 0.154421 | 0.184025 
InterfModel=0 8 | 0.054018 | 0.045015 | 0.0468993 | 0.145619 | 0.190425 
InterfModel=0 9 | 0.057019 | 0.0416806 | 0.0462325 | 0.141752 | 0.184025 
InterfModel=0 10 | 0.0520173 | 0.041 | 0.0451211 | 0.147506 | 0.192159 
InterfModel=0 11 | 0.051017 | 0.0440147 | 0.0451211 | 0.172556 | 0.155087 
InterfModel=0 12 | 0.0563521 | 0.0416806 | 0.0433429 | 0.149353 | 0.182958 
InterfModel=0 13 | 0.0513505 | 0.0470157 | 0.0451211 | 0.153487 | 0.175914 
InterfModel=0 14 | 0.0456819 | 0.0443481 | 0.0444543 | 0.165489 | 0.17309 
InterfModel=0 15 | 0.0503333 | 0.0423474 | 0.0488998 | 0.156287 | 0.180024 
InterfModel=0 16 | 0.0520173 | 0.0430143 | 0.0415648 | 0.164577 | 0.172423 
InterfModel=0 17 | 0.0503501 | 0.0463488 | 0.0495666 | 0.156575 | 0.180957 
InterfModel=0 18 | 0.0506836 | 0.0476826 | 0.0449088 | 0.15362 | 0.160288 
InterfModel=0 19 | 0.0493333 | 0.048016 | 0.0513448 | 0.149887 | 0.170556 
InterfModel=0 20 | 0.0526842 | 0.0453485 | 0.0502334 | 0.155108 | 0.187358 
InterfModel=0 21 | 0.0543514 | 0.0400133 | 0.0422222 | 0.155775 | 0.184849 
InterfModel=0 22 | 0.0550184 | 0.0423333 | 0.0482329 | 0.165867 | 0.160176 
InterfModel=0 23 | 0.0493498 | 0.0436812 | 0.0444543 | 0.158288 | 0.180715 
InterfModel=0 24 | 0.0560187 | 0.0380127 | 0.0480106 | 0.178157 | 0.157621 
InterfModel=0 25 | 0.0506836 | 0.0410137 | 0.0553457 | 0.169489 | 0.162022 
InterfModel=0 26 | 0.051017 | 0.0433478 | 0.0484552 | 0.158821 | 0.179624 
InterfModel=0 27 | 0.0526842 | 0.049 | 0.0497888 | 0.150553 | 0.181091 
InterfModel=0 28 | 0.0563334 | 0.0410137 | 0.0493443 | 0.152174 | 0.182024 
InterfModel=0 29 | 0.0496832 | 0.0460153 | 0.0495666 | 0.167889 | 0.17229 
InterfModel=0 30 | 0.0526842 | 0.0406802 | 0.0480106 | 0.1516 | 0.189225 
InterfModel=0 31 | 0.045015 | 0.0410137 | 0.0446766 | 0.146153 | 0.181624 
InterfModel=0 32 | 0.0543514 | 0.0416806 | 0.0388975 | 0.149373 | 0.180824 
InterfModel=0 33 | 0.048016 | 0.0486829 | 0.0517893 | 0.164822 | 0.180691 
InterfModel=0 34 | 0.045015 | 0.0430143 | 0.0466771 | 0.14802 | 0.19776 
