CastaliaResults -i saida.txt -s Packets received per node -n --all -o2                                                                       

Application:Packets received per node
 | index=1 | index=2 | index=3 | index=4 | index=5
InterfModel=0 | 2842.37 | 2870.4 | 4289.01 | 6343.22 | 6148.6 
InterfModel=1 | 2703.8 | 2724.9 | 4108.41 | 5554.05 | 5312.37 
InterfModel=2 | 2757.14 | 2873.19 | 4160.88 | 5913.98 | 5582.22 
Application:Packets received per node - all values
 | index=1 | index=2 | index=3 | index=4 | index=5
InterfModel=0 0 | 2833 | 2872 | 4303 | 6432 | 5998 
InterfModel=0 1 | 2829 | 2857 | 4286 | 6375 | 6210 
InterfModel=0 2 | 2860 | 2881 | 4287 | 6257 | 6183 
InterfModel=0 3 | 2857 | 2896 | 4294 | 6236 | 6127 
InterfModel=0 4 | 2845 | 2856 | 4298 | 6390 | 6126 
InterfModel=0 5 | 2848 | 2861 | 4269 | 6346 | 6189 
InterfModel=0 6 | 2835 | 2871 | 4278 | 6353 | 6219 
InterfModel=0 7 | 2853 | 2877 | 4283 | 6341 | 6119 
InterfModel=0 8 | 2837 | 2864 | 4288 | 6407 | 6071 
InterfModel=0 9 | 2828 | 2874 | 4291 | 6436 | 6119 
InterfModel=0 10 | 2843 | 2877 | 4296 | 6392 | 6058 
InterfModel=0 11 | 2846 | 2867 | 4296 | 6205 | 6336 
InterfModel=0 12 | 2830 | 2874 | 4304 | 6379 | 6127 
InterfModel=0 13 | 2845 | 2858 | 4296 | 6348 | 6179 
InterfModel=0 14 | 2862 | 2866 | 4299 | 6258 | 6201 
InterfModel=0 15 | 2849 | 2872 | 4279 | 6327 | 6149 
InterfModel=0 16 | 2843 | 2870 | 4312 | 6264 | 6206 
InterfModel=0 17 | 2848 | 2860 | 4276 | 6324 | 6142 
InterfModel=0 18 | 2847 | 2856 | 4296 | 6347 | 6297 
InterfModel=0 19 | 2852 | 2855 | 4268 | 6375 | 6220 
InterfModel=0 20 | 2841 | 2863 | 4273 | 6335 | 6094 
InterfModel=0 21 | 2836 | 2879 | 4310 | 6330 | 6112 
InterfModel=0 22 | 2834 | 2873 | 4282 | 6256 | 6297 
InterfModel=0 23 | 2851 | 2868 | 4299 | 6312 | 6143 
InterfModel=0 24 | 2831 | 2885 | 4283 | 6163 | 6317 
InterfModel=0 25 | 2847 | 2876 | 4250 | 6228 | 6284 
InterfModel=0 26 | 2846 | 2869 | 4281 | 6308 | 6152 
InterfModel=0 27 | 2841 | 2853 | 4275 | 6370 | 6141 
InterfModel=0 28 | 2831 | 2876 | 4277 | 6357 | 6134 
InterfModel=0 29 | 2850 | 2861 | 4276 | 6240 | 6207 
InterfModel=0 30 | 2841 | 2877 | 4283 | 6363 | 6080 
InterfModel=0 31 | 2864 | 2876 | 4298 | 6403 | 6137 
InterfModel=0 32 | 2836 | 2874 | 4324 | 6378 | 6143 
InterfModel=0 33 | 2855 | 2853 | 4266 | 6263 | 6144 
InterfModel=0 34 | 2864 | 2870 | 4289 | 6389 | 6016 
InterfModel=0 35 | 2852 | 2892 | 4302 | 6172 | 6211 
InterfModel=0 36 | 2875 | 2879 | 4298 | 6336 | 6095 
InterfModel=0 37 | 2842 | 2866 | 4292 | 6362 | 6135 
InterfModel=0 38 | 2843 | 2881 | 4280 | 6222 | 6223 
InterfModel=0 39 | 2829 | 2871 | 4276 | 6401 | 6178 
InterfModel=0 40 | 2837 | 2877 | 4279 | 6451 | 5914 
InterfModel=0 41 | 2852 | 2859 | 4289 | 6544 | 6075 
InterfModel=0 42 | 2833 | 2877 | 4290 | 6173 | 6292 
InterfModel=0 43 | 2837 | 2899 | 4272 | 6508 | 6006 
InterfModel=0 44 | 2842 | 2855 | 4294 | 6266 | 6161 
