CastaliaResults -i saida.txt -s Packets reception rate -n --all -o2                                                                    

Application:Packets reception rate - total
 | index=1 | index=2 | index=3 | index=4 | index=5
InterfModel=0 | 0.948 | 0.957 | 0.953 | 0.846 | 0.82 
InterfModel=1 | 0.902 | 0.909 | 0.913 | 0.741 | 0.708 
InterfModel=2 | 0.919 | 0.958 | 0.925 | 0.789 | 0.744 
Application:Packets reception rate - all values
 | index=1 | index=2 | index=3 | index=4 | index=5
InterfModel=0 0 | 0.944648 | 0.957653 | 0.956435 | 0.857714 | 0.79984 
InterfModel=0 1 | 0.943314 | 0.952651 | 0.952656 | 0.850113 | 0.82811 
InterfModel=0 2 | 0.953651 | 0.960654 | 0.952878 | 0.834267 | 0.82451 
InterfModel=0 3 | 0.952651 | 0.965655 | 0.954434 | 0.831578 | 0.817042 
InterfModel=0 4 | 0.94865 | 0.952317 | 0.955323 | 0.852227 | 0.817018 
InterfModel=0 5 | 0.94965 | 0.953985 | 0.948878 | 0.846246 | 0.82542 
InterfModel=0 6 | 0.945315 | 0.957319 | 0.950878 | 0.84718 | 0.829311 
InterfModel=0 7 | 0.951317 | 0.95932 | 0.951989 | 0.845579 | 0.815975 
InterfModel=0 8 | 0.945982 | 0.954985 | 0.953101 | 0.854381 | 0.809575 
InterfModel=0 9 | 0.942981 | 0.958319 | 0.953767 | 0.858248 | 0.815975 
InterfModel=0 10 | 0.947983 | 0.959 | 0.954879 | 0.852494 | 0.807841 
InterfModel=0 11 | 0.948983 | 0.955985 | 0.954879 | 0.827444 | 0.844913 
InterfModel=0 12 | 0.943648 | 0.958319 | 0.956657 | 0.850647 | 0.817042 
InterfModel=0 13 | 0.94865 | 0.952984 | 0.954879 | 0.846513 | 0.824086 
InterfModel=0 14 | 0.954318 | 0.955652 | 0.955546 | 0.834511 | 0.82691 
InterfModel=0 15 | 0.949667 | 0.957653 | 0.9511 | 0.843713 | 0.819976 
InterfModel=0 16 | 0.947983 | 0.956986 | 0.958435 | 0.835423 | 0.827577 
InterfModel=0 17 | 0.94965 | 0.953651 | 0.950433 | 0.843425 | 0.819043 
InterfModel=0 18 | 0.949316 | 0.952317 | 0.955091 | 0.84638 | 0.839712 
InterfModel=0 19 | 0.950667 | 0.951984 | 0.948655 | 0.850113 | 0.829444 
InterfModel=0 20 | 0.947316 | 0.954652 | 0.949767 | 0.844892 | 0.812642 
InterfModel=0 21 | 0.945649 | 0.959987 | 0.957778 | 0.844225 | 0.815151 
InterfModel=0 22 | 0.944982 | 0.957667 | 0.951767 | 0.834133 | 0.839824 
InterfModel=0 23 | 0.95065 | 0.956319 | 0.955546 | 0.841712 | 0.819285 
InterfModel=0 24 | 0.943981 | 0.961987 | 0.951989 | 0.821843 | 0.842379 
InterfModel=0 25 | 0.949316 | 0.958986 | 0.944654 | 0.830511 | 0.837978 
