CastaliaResults -i saida.txt -s Energy nJ/bit -n --all -o2                                                           

Application:Energy nJ/bit
 | node=1 | node=2 | node=3 | node=4 | node=5
InterfModel=0 | 107.721 | 106.148 | 84.643 | 47.68 | 62.219 
InterfModel=1 | 134.739 | 133.308 | 116.419 | 67.17 | 113.731 
InterfModel=2 | 120.949 | 103.19 | 100.383 | 53.223 | 84.996 
Application:Energy nJ/bit - all values
 | node=1 | node=2 | node=3 | node=4 | node=5
InterfModel=0 0 | 108.083 | 106 | 77.4786 | 46.2353 | 66.5729 
InterfModel=0 1 | 105.106 | 106.575 | 84.5811 | 46.7087 | 63.7192 
InterfModel=0 2 | 110.657 | 106.321 | 78.488 | 47.7521 | 60.824 
InterfModel=0 3 | 107.02 | 107.007 | 92.0782 | 47.1674 | 64.4253 
InterfModel=0 4 | 103.977 | 106.267 | 84.9364 | 47.5602 | 63.1678 
InterfModel=0 5 | 108.924 | 106.242 | 82.202 | 48.2461 | 60.4253 
InterfModel=0 6 | 102.195 | 106.308 | 84.5072 | 48.9356 | 62.1996 
InterfModel=0 7 | 103.797 | 106.004 | 82.6153 | 46.113 | 63.9357 
InterfModel=0 8 | 109.714 | 106.507 | 83.5928 | 46.7074 | 58.6054 
InterfModel=0 9 | 105.508 | 108.097 | 79.6775 | 47.3163 | 62.6382 
InterfModel=0 10 | 109.658 | 106.529 | 89.0797 | 48.8725 | 59.2704 
InterfModel=0 11 | 106.547 | 106.741 | 89.9589 | 44.844 | 68.0487 
InterfModel=0 12 | 109.135 | 105.808 | 84.471 | 47.0335 | 62.3996 
InterfModel=0 13 | 107.297 | 107.06 | 95.8843 | 46.8413 | 61.8741 
InterfModel=0 14 | 105.18 | 106.595 | 86.6049 | 46.2352 | 61.3625 
InterfModel=0 15 | 109.232 | 106.38 | 86.6368 | 48.2464 | 61.4876 
InterfModel=0 16 | 105.558 | 106.344 | 81.6514 | 48.6194 | 67.9316 
InterfModel=0 17 | 109.407 | 105.945 | 89.4571 | 49.4174 | 59.6128 
InterfModel=0 18 | 107.784 | 106.252 | 81.2009 | 46.0094 | 65.3595 
InterfModel=0 19 | 107.207 | 105.723 | 94.4218 | 46.8999 | 58.9992 
InterfModel=0 20 | 104.94 | 105.159 | 83.3484 | 48.6864 | 58.0908 
InterfModel=0 21 | 110.582 | 107.057 | 99.9629 | 46.3007 | 65.1137 
InterfModel=0 22 | 107.721 | 106.745 | 85.2407 | 51.1423 | 62.1974 
InterfModel=0 23 | 112.959 | 107.49 | 78.6649 | 49.3549 | 62.0436 
InterfModel=0 24 | 108.362 | 106.517 | 81.3243 | 48.1019 | 59.7574 
InterfModel=0 25 | 109.806 | 104.363 | 87.145 | 49.5809 | 62.1201 
InterfModel=0 26 | 105.361 | 105.417 | 75.9545 | 47.9984 | 60.2783 
InterfModel=0 27 | 108.121 | 106.281 | 82.8964 | 46.6348 | 62.1456 
InterfModel=0 28 | 110.903 | 106.714 | 95.3587 | 47.1586 | 56.3786 
InterfModel=0 29 | 105.207 | 105.69 | 77.5978 | 46.9801 | 66.5385 
InterfModel=0 30 | 106.161 | 104.833 | 84.3461 | 45.4186 | 62.3372 
InterfModel=0 31 | 107.139 | 105.405 | 86.2233 | 47.9767 | 61.6894 
InterfModel=0 32 | 109.141 | 105.519 | 86.1671 | 49.0507 | 63.3782 
InterfModel=0 33 | 105.44 | 107.526 | 78.1106 | 47.9396 | 62.0593 
InterfModel=0 34 | 112.033 | 106.551 | 79.8016 | 48.4923 | 61.9797 
InterfModel=0 35 | 112.363 | 105.001 | 84.2697 | 47.6513 | 65.5029 
InterfModel=0 36 | 106.199 | 106.669 | 81.6964 | 46.1418 | 65.562 
InterfModel=0 37 | 109.384 | 105.886 | 81.3141 | 46.6967 | 63.9184 
InterfModel=0 38 | 107.137 | 107.797 | 78.3518 | 46.6152 | 65.1149 
InterfModel=0 39 | 111.746 | 105.549 | 77.5035 | 48.7878 | 59.2412 
InterfModel=0 40 | 109.413 | 106.371 | 85.8985 | 48.306 | 62.0092 
InterfModel=0 41 | 111.628 | 106.9 | 73.2613 | 50.2174 | 56.9452 
InterfModel=0 42 | 105.261 | 105.75 | 84.1732 | 45.8154 | 67.1535 
InterfModel=0 43 | 107.022 | 106.204 | 83.6523 | 49.4482 | 57.4809 
InterfModel=0 44 | 109.571 | 105.006 | 84.3964 | 48.3583 | 61.749 
InterfModel=0 45 | 108.721 | 106.163 | 84.9925 | 48.4731 | 60.6629 
InterfModel=0 46 | 103.081 | 105.12 | 92.4176 | 45.8752 | 64.1749 
InterfModel=0 47 | 109.596 | 106.319 | 84.1913 | 48.5358 | 56.7059 
InterfModel=0 48 | 104.086 | 104.787 | 84.989 | 47.2072 | 69.992 
InterfModel=0 49 | 107.033 | 105.715 | 97.9946 | 46.5898 | 62.0018 
InterfModel=0 50 | 108.303 | 106.213 | 83.5748 | 47.7165 | 61.9556 
InterfModel=0 51 | 107.942 | 106.394 | 79.2712 | 46.9585 | 61.3869 
InterfModel=0 52 | 107.16 | 106.331 | 84.6496 | 45.8699 | 67.4518 
InterfModel=0 53 | 104.646 | 106.603 | 91.4245 | 44.9902 | 65.7805 
InterfModel=0 54 | 106.182 | 106.045 | 90.7774 | 48.1545 | 56.8496 
InterfModel=0 55 | 108.724 | 105.256 | 88.0805 | 48.3434 | 60.6073 
InterfModel=0 56 | 107.283 | 107.304 | 78.2717 | 47.3642 | 61.8374 
InterfModel=0 57 | 112.204 | 106.176 | 84.2035 | 47.7736 | 64.6939 
InterfModel=0 58 | 108.498 | 104.762 | 85.4465 | 47.5644 | 60.4236 
InterfModel=0 59 | 110.304 | 106.749 | 76.7488 | 47.3177 | 60.2081 
InterfModel=0 60 | 107.014 | 105.18 | 82.1537 | 46.4213 | 65.6894 
InterfModel=0 61 | 103.979 | 105.895 | 83.3256 | 47.8483 | 64.0384 
InterfModel=0 62 | 104.128 | 106.351 | 88.2506 | 46.2149 | 62.6539 
InterfModel=0 63 | 110.657 | 105.861 | 83.4235 | 44.6405 | 66.7292 
InterfModel=0 64 | 108.589 | 106.829 | 86.0321 | 48.0888 | 61.5009 
InterfModel=0 65 | 108.44 | 106.365 | 87.5932 | 50.1558 | 62.6443 
InterfModel=0 66 | 107.116 | 105.813 | 79.0876 | 47.9663 | 62.1061 
InterfModel=0 67 | 109.207 | 105.709 | 83.396 | 46.2369 | 65.6627 
InterfModel=0 68 | 108.939 | 106.923 | 82.6792 | 48.5506 | 61.5995 
InterfModel=0 69 | 102.202 | 106.186 | 90.2408 | 47.7625 | 72.139 
InterfModel=0 70 | 106.552 | 107.8 | 90.2038 | 47.4086 | 58.6309 
InterfModel=0 71 | 109.438 | 106.197 | 88.9469 | 48.6659 | 58.7904 
InterfModel=0 72 | 107.051 | 104.668 | 78.8549 | 48.5963 | 61.5423 
InterfModel=0 73 | 111.289 | 106.07 | 85.2457 | 48.8812 | 59.1289 
InterfModel=0 74 | 104.767 | 105.691 | 88.8722 | 47.5199 | 62.5298 
InterfModel=0 75 | 107.645 | 106.797 | 79.5447 | 49.3008 | 65.236 
InterfModel=0 76 | 107.895 | 106.079 | 80.5056 | 49.1311 | 58.0565 
InterfModel=0 77 | 105.019 | 105.545 | 87.045 | 47.654 | 63.456 
InterfModel=0 78 | 103.571 | 106.513 | 83.9089 | 47.9655 | 63.3209 
InterfModel=0 79 | 107.384 | 106.225 | 95.1324 | 47.3518 | 58.7367 
InterfModel=0 80 | 106.512 | 106.735 | 75.3905 | 47.825 | 64.4874 
InterfModel=0 81 | 105.727 | 105.488 | 81.6613 | 46.8367 | 64.3453 
InterfModel=0 82 | 109.06 | 104.725 | 89.5646 | 47.7359 | 62.3704 
InterfModel=0 83 | 113.319 | 104.929 | 82.2174 | 48.8878 | 62.0836 
InterfModel=0 84 | 109.251 | 106.267 | 80.0054 | 49.2609 | 58.891 
InterfModel=0 85 | 106.588 | 105.409 | 87.265 | 48.9496 | 59.4669 
InterfModel=0 86 | 110.806 | 106.275 | 89.9336 | 46.1611 | 61.3392 
InterfModel=0 87 | 107.88 | 107.612 | 78.8243 | 47.1045 | 67.5637 
InterfModel=0 88 | 106.488 | 106.437 | 78.5991 | 48.5722 | 58.3053 
InterfModel=0 89 | 112.885 | 105.726 | 84.9727 | 47.3396 | 60.4364 
InterfModel=0 90 | 108.681 | 105.465 | 85.2664 | 47.4447 | 62.5359 
InterfModel=0 91 | 104.585 | 105.775 | 93.7536 | 47.1939 | 63.2347 
InterfModel=0 92 | 107.325 | 106.876 | 85.1357 | 49.9394 | 56.5117 
InterfModel=0 93 | 104.448 | 106.672 | 86.8324 | 49.2443 | 63.6159 
InterfModel=0 94 | 104.016 | 106.056 | 90.9525 | 46.9551 | 60.4909 
InterfModel=0 95 | 106.063 | 105.434 | 76.2215 | 48.3831 | 63.118 
InterfModel=0 96 | 110.43 | 106.169 | 83.4307 | 47.8173 | 59.1467 
InterfModel=0 97 | 108.715 | 106.229 | 85.1605 | 48.0716 | 59.0337 
InterfModel=0 98 | 112.104 | 105.599 | 87.8182 | 46.4672 | 64.1444 
InterfModel=0 99 | 107 | 107.204 | 83.6236 | 48.0756 | 58.1895 
InterfModel=1 0 | 136.701 | 131.783 | 110.101 | 69.2512 | 110.25 
InterfModel=1 1 | 138.156 | 133.395 | 113.002 | 69.9255 | 112.095 
InterfModel=1 2 | 132.431 | 135.288 | 103.941 | 66.6376 | 121.417 
InterfModel=1 3 | 134.832 | 132.016 | 121.769 | 66.919 | 101.269 
InterfModel=1 4 | 127.191 | 129.911 | 122.442 | 63.7548 | 120.139 
InterfModel=1 5 | 132.133 | 129.584 | 129.699 | 65.9469 | 105.875 
InterfModel=1 6 | 131.09 | 132.87 | 136.655 | 64.8054 | 116.881 
InterfModel=1 7 | 130.112 | 134.134 | 121.351 | 66.3859 | 109.241 
InterfModel=1 8 | 140.292 | 132.862 | 121.122 | 66.719 | 105.965 
InterfModel=1 9 | 134.519 | 134.265 | 122.147 | 64.5174 | 123.611 
InterfModel=1 10 | 135.482 | 134.703 | 119.518 | 66.7223 | 114.945 
InterfModel=1 11 | 127.79 | 133.557 | 119.08 | 71.034 | 115.204 
InterfModel=1 12 | 136.338 | 133.628 | 114.213 | 71.1758 | 113.314 
InterfModel=1 13 | 138.317 | 133.554 | 100.354 | 68.301 | 125.808 
InterfModel=1 14 | 126.425 | 135.143 | 109.918 | 65.2537 | 115.089 
InterfModel=1 15 | 135.966 | 133.556 | 125.984 | 63.9856 | 108.545 
InterfModel=1 16 | 131.316 | 128.271 | 123.89 | 65.2479 | 116.833 
InterfModel=1 17 | 132.162 | 136.753 | 122.13 | 69.9359 | 109.655 
InterfModel=1 18 | 131.483 | 134.003 | 132.827 | 68.0742 | 102.38 
InterfModel=1 19 | 137.952 | 133.794 | 106.232 | 69.7103 | 105.769 
InterfModel=1 20 | 133.416 | 132.227 | 122.902 | 68.3112 | 115.492 
InterfModel=1 21 | 136.191 | 134.056 | 117.088 | 65.1045 | 115.659 
InterfModel=1 22 | 137.719 | 133.696 | 107.631 | 66.7255 | 117.678 
InterfModel=1 23 | 131.723 | 131.844 | 116.625 | 64.9641 | 115.189 
InterfModel=1 24 | 131.059 | 134.299 | 113.659 | 66.014 | 115.313 
InterfModel=1 25 | 135.16 | 137.61 | 128.74 | 66.4185 | 114.782 
InterfModel=1 26 | 137.332 | 131.966 | 108.098 | 68.222 | 115.197 
InterfModel=1 27 | 139.136 | 133.295 | 100.433 | 70.4724 | 113.646 
InterfModel=1 28 | 134.056 | 133.763 | 105.28 | 67.7183 | 121.969 
InterfModel=1 29 | 132.527 | 132.586 | 115.749 | 64.0497 | 117.907 
InterfModel=1 30 | 144.85 | 134.141 | 111.358 | 68.731 | 115.624 
InterfModel=1 31 | 127.237 | 135.063 | 116.428 | 66.7618 | 120.519 
InterfModel=1 32 | 129.233 | 133.995 | 131.611 | 68.0881 | 109.147 
InterfModel=1 33 | 135.52 | 131.743 | 116.071 | 69.5147 | 115.372 
InterfModel=1 34 | 134.147 | 136.342 | 106.465 | 66.8162 | 115.008 
InterfModel=1 35 | 140.075 | 133.235 | 124.607 | 66.7731 | 107.803 
InterfModel=1 36 | 133.297 | 132.093 | 111.672 | 67.6999 | 120.488 
InterfModel=1 37 | 137.695 | 131.711 | 120.045 | 69.7154 | 109.024 
InterfModel=1 38 | 133.28 | 134.186 | 111.74 | 68.4462 | 125.256 
InterfModel=1 39 | 134.196 | 134.97 | 103.764 | 66.3185 | 112.494 
InterfModel=1 40 | 137.616 | 130.68 | 108.389 | 67.6476 | 108.421 
InterfModel=1 41 | 128.487 | 137.631 | 108.706 | 68.0851 | 117.127 
InterfModel=1 42 | 136.555 | 130.034 | 113.105 | 65.8216 | 130.419 
InterfModel=1 43 | 137.873 | 132.989 | 113.407 | 68.5283 | 116.758 
InterfModel=1 44 | 143.006 | 135.066 | 116.527 | 70.6182 | 109.395 
InterfModel=1 45 | 132.762 | 132.607 | 120.772 | 70.2435 | 103.944 
InterfModel=1 46 | 131.522 | 134.252 | 115.077 | 67.3414 | 116.094 
InterfModel=1 47 | 135.681 | 133.684 | 104.699 | 67.6712 | 116.719 
InterfModel=1 48 | 145.118 | 134.489 | 107.638 | 68.2183 | 110.078 
InterfModel=1 49 | 135.755 | 135.686 | 121.297 | 66.0384 | 118.523 
InterfModel=1 50 | 132.06 | 133.016 | 113.045 | 68.7616 | 117.273 
InterfModel=1 51 | 140.041 | 133.977 | 108.093 | 66.8686 | 117.905 
InterfModel=1 52 | 131.019 | 134.394 | 118.487 | 67.5695 | 109.741 
InterfModel=1 53 | 138.781 | 134.443 | 114.955 | 66.4064 | 109.697 
InterfModel=1 54 | 140.891 | 131.695 | 134.75 | 64.2577 | 109.751 
InterfModel=1 55 | 131.33 | 136.246 | 106.608 | 69.6297 | 117.091 
InterfModel=1 56 | 128.675 | 135.189 | 104.396 | 66.7239 | 112.397 
InterfModel=1 57 | 137.186 | 129.663 | 104.601 | 64.4895 | 116.389 
InterfModel=1 58 | 142.875 | 133.486 | 103.224 | 67.1706 | 116.081 
InterfModel=1 59 | 131.135 | 130.509 | 128.304 | 66.1604 | 107.026 
InterfModel=1 60 | 129.772 | 133.492 | 132.309 | 65.7179 | 97.72 
InterfModel=1 61 | 127.172 | 134.107 | 100.076 | 70.5976 | 117.727 
InterfModel=1 62 | 129.492 | 133.909 | 117.636 | 66.9918 | 117.591 
InterfModel=1 63 | 135.971 | 134.175 | 107.49 | 67.0819 | 110.525 
InterfModel=1 64 | 127.532 | 135.604 | 121.72 | 67.1148 | 118.833 
InterfModel=1 65 | 128.9 | 135.626 | 111.893 | 67.3649 | 134.104 
InterfModel=1 66 | 133.771 | 132.876 | 120.18 | 63.8228 | 118.648 
InterfModel=1 67 | 136.619 | 132.151 | 119.74 | 72.7749 | 110.268 
