CastaliaResults -i saida.txt -s Consumed Energy -n --all -o2                                                             

ResourceManager:Consumed Energy
 | node=0 | node=1 | node=2 | node=3 | node=4 | node=5
InterfModel=0 | 0.932 | 0.215 | 0.245 | 0.224 | 0.219 | 0.214 
InterfModel=1 | 0.932 | 0.216 | 0.245 | 0.227 | 0.22 | 0.218 
InterfModel=2 | 0.932 | 0.216 | 0.245 | 0.226 | 0.22 | 0.218 
ResourceManager:Consumed Energy - all values
 | node=0 | node=1 | node=2 | node=3 | node=4 | node=5
InterfModel=0 0 | 0.932188 | 0.217169 | 0.245127 | 0.210605 | 0.21283 | 0.225978 
InterfModel=0 1 | 0.932175 | 0.216308 | 0.244936 | 0.228278 | 0.221483 | 0.216612 
InterfModel=0 2 | 0.932144 | 0.217322 | 0.244799 | 0.216975 | 0.224305 | 0.207485 
InterfModel=0 3 | 0.932174 | 0.206493 | 0.245028 | 0.228943 | 0.221242 | 0.223829 
InterfModel=0 4 | 0.932237 | 0.210404 | 0.24512 | 0.218463 | 0.229196 | 0.216648 
InterfModel=0 5 | 0.932194 | 0.218128 | 0.244884 | 0.230005 | 0.222775 | 0.212064 
InterfModel=0 6 | 0.932208 | 0.208429 | 0.245125 | 0.228291 | 0.22374 | 0.217141 
InterfModel=0 7 | 0.932177 | 0.210823 | 0.244781 | 0.220127 | 0.219124 | 0.210205 
InterfModel=0 8 | 0.932223 | 0.215838 | 0.246656 | 0.229472 | 0.218064 | 0.205431 
InterfModel=0 9 | 0.932172 | 0.213945 | 0.245892 | 0.216047 | 0.211288 | 0.219882 
InterfModel=0 10 | 0.932137 | 0.22107 | 0.245992 | 0.230243 | 0.215815 | 0.210152 
InterfModel=0 11 | 0.932257 | 0.217125 | 0.246214 | 0.226319 | 0.218254 | 0.212353 
InterfModel=0 12 | 0.932161 | 0.21855 | 0.243794 | 0.220246 | 0.221601 | 0.210082 
InterfModel=0 13 | 0.932189 | 0.213336 | 0.246051 | 0.243722 | 0.218768 | 0.216681 
InterfModel=0 14 | 0.932136 | 0.214341 | 0.244803 | 0.218826 | 0.218383 | 0.211332 
InterfModel=0 15 | 0.932177 | 0.214891 | 0.244308 | 0.221964 | 0.219291 | 0.214191 
InterfModel=0 16 | 0.932133 | 0.213426 | 0.245207 | 0.218725 | 0.209878 | 0.226595 
InterfModel=0 17 | 0.932152 | 0.213948 | 0.243932 | 0.243241 | 0.217972 | 0.210414 
InterfModel=0 18 | 0.932244 | 0.214034 | 0.245353 | 0.222497 | 0.218399 | 0.211592 
InterfModel=0 19 | 0.932218 | 0.213879 | 0.245819 | 0.240957 | 0.217741 | 0.21598 
InterfModel=0 20 | 0.932135 | 0.21438 | 0.244243 | 0.214519 | 0.220514 | 0.204456 
InterfModel=0 21 | 0.932262 | 0.220054 | 0.245952 | 0.24754 | 0.218071 | 0.225345 
InterfModel=0 22 | 0.932142 | 0.21617 | 0.245236 | 0.221967 | 0.234129 | 0.214103 
InterfModel=0 23 | 0.932262 | 0.223361 | 0.246585 | 0.220306 | 0.217904 | 0.20904 
InterfModel=0 24 | 0.932232 | 0.21691 | 0.245874 | 0.213681 | 0.217665 | 0.215944 
InterfModel=0 25 | 0.932237 | 0.218048 | 0.243533 | 0.224437 | 0.223358 | 0.217803 
InterfModel=0 26 | 0.932143 | 0.212584 | 0.245018 | 0.20608 | 0.220664 | 0.209624 
InterfModel=0 27 | 0.932196 | 0.216338 | 0.244348 | 0.217742 | 0.217216 | 0.207191 
InterfModel=0 28 | 0.932189 | 0.219015 | 0.245702 | 0.252559 | 0.219061 | 0.201556 
InterfModel=0 29 | 0.932197 | 0.21413 | 0.244143 | 0.211907 | 0.218587 | 0.222396 
InterfModel=0 30 | 0.932173 | 0.210811 | 0.243925 | 0.226297 | 0.222577 | 0.205735 
InterfModel=0 31 | 0.932214 | 0.211492 | 0.245167 | 0.226916 | 0.216413 | 0.220024 
InterfModel=0 32 | 0.932232 | 0.216269 | 0.244812 | 0.226333 | 0.218909 | 0.21705 
InterfModel=0 33 | 0.932239 | 0.21301 | 0.245043 | 0.220131 | 0.222286 | 0.207842 
InterfModel=0 34 | 0.932237 | 0.223507 | 0.245865 | 0.218529 | 0.222365 | 0.219445 
InterfModel=0 35 | 0.932225 | 0.217368 | 0.243787 | 0.228924 | 0.220749 | 0.214092 
InterfModel=0 36 | 0.9322 | 0.214721 | 0.246048 | 0.222757 | 0.219222 | 0.215332 
InterfModel=0 37 | 0.932118 | 0.219323 | 0.245575 | 0.219938 | 0.223545 | 0.214336 
InterfModel=0 38 | 0.932158 | 0.214638 | 0.245661 | 0.213177 | 0.217633 | 0.217583 
InterfModel=0 39 | 0.932168 | 0.21993 | 0.244795 | 0.211194 | 0.2154 | 0.210048 
InterfModel=0 40 | 0.932162 | 0.217728 | 0.245627 | 0.222381 | 0.215951 | 0.212257 
InterfModel=0 41 | 0.932153 | 0.219415 | 0.245323 | 0.199388 | 0.225972 | 0.205256 
InterfModel=0 42 | 0.932141 | 0.210969 | 0.244282 | 0.22251 | 0.217863 | 0.228964 
InterfModel=0 43 | 0.932154 | 0.217913 | 0.244707 | 0.226052 | 0.217734 | 0.208538 
InterfModel=0 44 | 0.932205 | 0.218409 | 0.243799 | 0.222675 | 0.221668 | 0.214894 
InterfModel=0 45 | 0.932236 | 0.217812 | 0.245414 | 0.224105 | 0.216332 | 0.213815 
InterfModel=0 46 | 0.932146 | 0.213614 | 0.243798 | 0.23002 | 0.216414 | 0.218539 
