CastaliaResults -i saida.txt -s Estimated network lifetime --all -o2                                                                     

ResourceManager:Estimated network lifetime (days)
 | InterfModel=0 | InterfModel=1 | InterfModel=2
 | 69.961 | 69.944 | 69.955 
ResourceManager:Estimated network lifetime (days) - all values
 | InterfModel=0 | InterfModel=1 | InterfModel=2
 0 | 69.9619 | 69.9404 | 69.9509 
 1 | 69.9619 | 69.9405 | 69.9562 
 2 | 69.966 | 69.9488 | 69.9572 
 3 | 69.9634 | 69.9411 | 69.9583 
 4 | 69.9572 | 69.9442 | 69.9587 
 5 | 69.9606 | 69.9452 | 69.9563 
 6 | 69.9595 | 69.9475 | 69.9508 
 7 | 69.9617 | 69.9438 | 69.9514 
 8 | 69.9582 | 69.9466 | 69.9566 
 9 | 69.9623 | 69.9452 | 69.9541 
 10 | 69.9649 | 69.9424 | 69.9567 
 11 | 69.956 | 69.9468 | 69.9531 
 12 | 69.9629 | 69.9496 | 69.9556 
 13 | 69.9612 | 69.9406 | 69.9494 
 14 | 69.9649 | 69.9397 | 69.9519 
 15 | 69.9617 | 69.9507 | 69.9554 
 16 | 69.9651 | 69.9492 | 69.9514 
 17 | 69.9636 | 69.9412 | 69.9555 
 18 | 69.9568 | 69.9436 | 69.9508 
 19 | 69.9587 | 69.9437 | 69.9576 
 20 | 69.9649 | 69.9409 | 69.9589 
 21 | 69.9555 | 69.9502 | 69.9581 
 22 | 69.9657 | 69.9415 | 69.9561 
 23 | 69.9554 | 69.94 | 69.9586 
 24 | 69.9577 | 69.9486 | 69.9497 
 25 | 69.9572 | 69.9388 | 69.9504 
 26 | 69.9643 | 69.9429 | 69.9533 
 27 | 69.9603 | 69.9398 | 69.9525 
 28 | 69.9611 | 69.9418 | 69.9588 
 29 | 69.9603 | 69.9458 | 69.9517 
 30 | 69.9624 | 69.9472 | 69.9514 
 31 | 69.9589 | 69.942 | 69.9515 
 32 | 69.9575 | 69.9385 | 69.9554 
 33 | 69.9571 | 69.9432 | 69.9546 
 34 | 69.9574 | 69.9422 | 69.95 
 35 | 69.959 | 69.947 | 69.9484 
 36 | 69.9601 | 69.9476 | 69.9507 
 37 | 69.9661 | 69.9404 | 69.9529 
 38 | 69.9633 | 69.9437 | 69.951 
 39 | 69.9657 | 69.9488 | 69.959 
 40 | 69.9629 | 69.9457 | 69.9528 
 41 | 69.9636 | 69.9476 | 69.9569 
 42 | 69.9659 | 69.9482 | 69.9604 
 43 | 69.9634 | 69.9429 | 69.959 
 44 | 69.9596 | 69.9481 | 69.9518 
 45 | 69.9575 | 69.9456 | 69.9564 
 46 | 69.964 | 69.9426 | 69.9507 
 47 | 69.9605 | 69.9459 | 69.9599 
 48 | 69.9627 | 69.9431 | 69.952 
 49 | 69.9566 | 69.9429 | 69.9598 
 50 | 69.9663 | 69.9408 | 69.9591 
 51 | 69.9599 | 69.9458 | 69.954 
 52 | 69.963 | 69.9385 | 69.9506 
 53 | 69.9574 | 69.9493 | 69.9595 
 54 | 69.964 | 69.9495 | 69.9539 
 55 | 69.9628 | 69.948 | 69.9548 
 56 | 69.9588 | 69.9434 | 69.9604 
 57 | 69.956 | 69.9502 | 69.9493 
 58 | 69.9575 | 69.9437 | 69.9528 
 59 | 69.9611 | 69.9489 | 69.957 
 60 | 69.9622 | 69.942 | 69.9521 
 61 | 69.9584 | 69.9442 | 69.9506 
 62 | 69.9612 | 69.9486 | 69.9541 
 63 | 69.964 | 69.9444 | 69.9576 
 64 | 69.9576 | 69.943 | 69.9551 
 65 | 69.9565 | 69.9382 | 69.9586 
 66 | 69.9555 | 69.9435 | 69.9551 
 67 | 69.9617 | 69.9395 | 69.954 
 68 | 69.9593 | 69.945 | 69.9549 
 69 | 69.9622 | 69.938 | 69.9521 
 70 | 69.9659 | 69.9391 | 69.9495 
 71 | 69.96 | 69.9427 | 69.9594 
 72 | 69.965 | 69.9478 | 69.952 
 73 | 69.9574 | 69.9431 | 69.95 
 74 | 69.9609 | 69.9405 | 69.9538 
 75 | 69.9612 | 69.9484 | 69.952 
 76 | 69.963 | 69.9504 | 69.9544 
 77 | 69.9666 | 69.9409 | 69.9518 
 78 | 69.964 | 69.9409 | 69.9514 
 79 | 69.9586 | 69.9424 | 69.9586 
 80 | 69.9574 | 69.9412 | 69.9498 
 81 | 69.9665 | 69.944 | 69.9502 
 82 | 69.9562 | 69.9408 | 69.9511 
 83 | 69.9639 | 69.9496 | 69.9592 
 84 | 69.963 | 69.9486 | 69.9571 
 85 | 69.9643 | 69.949 | 69.9533 
 86 | 69.9562 | 69.9406 | 69.9525 
 87 | 69.965 | 69.9411 | 69.9503 
 88 | 69.9636 | 69.9464 | 69.9571 
 89 | 69.9565 | 69.9455 | 69.9576 
 90 | 69.9577 | 69.9452 | 69.9568 
 91 | 69.9555 | 69.9445 | 69.9588 
 92 | 69.9621 | 69.9436 | 69.9556 
 93 | 69.9589 | 69.9494 | 69.9499 
 94 | 69.9623 | 69.9403 | 69.9607 
 95 | 69.9622 | 69.9499 | 69.9545 
 96 | 69.9602 | 69.9418 | 69.96 
 97 | 69.9579 | 69.9492 | 69.9598 
 98 | 69.9593 | 69.9408 | 69.9569 
 99 | 69.9572 | 69.94 | 69.952 

