CastaliaResults -i saida.txt -s Packets loss rate -n --all -o2                                                               

Application:Packets loss rate - total
 | index=1 | index=2 | index=3 | index=4 | index=5
InterfModel=0 | 0.206 | 0.084 | 0.299 | 0.27 | 0.453 
InterfModel=1 | 0.362 | 0.271 | 0.481 | 0.481 | 0.695 
InterfModel=2 | 0.289 | 0.057 | 0.404 | 0.344 | 0.593 
Application:Packets loss rate - all values
 | index=1 | index=2 | index=3 | index=4 | index=5
InterfModel=0 0 | 0.202401 | 0.0820273 | 0.280729 | 0.269236 | 0.461128 
InterfModel=0 1 | 0.183061 | 0.0876959 | 0.285841 | 0.247233 | 0.460328 
InterfModel=0 2 | 0.220407 | 0.0860287 | 0.268504 | 0.2544 | 0.458461 
InterfModel=0 3 | 0.234078 | 0.0910304 | 0.342076 | 0.255367 | 0.44846 
InterfModel=0 4 | 0.196732 | 0.0843614 | 0.319404 | 0.234863 | 0.455455 
InterfModel=0 5 | 0.205068 | 0.0850284 | 0.259613 | 0.266969 | 0.442785 
InterfModel=0 6 | 0.190397 | 0.0846949 | 0.285174 | 0.27417 | 0.445793 
InterfModel=0 7 | 0.193731 | 0.0833611 | 0.294954 | 0.245633 | 0.478064 
InterfModel=0 8 | 0.219073 | 0.0806935 | 0.273616 | 0.258835 | 0.443526 
InterfModel=0 9 | 0.195065 | 0.0970324 | 0.282507 | 0.291106 | 0.442726 
InterfModel=0 10 | 0.199733 | 0.0836667 | 0.31607 | 0.29888 | 0.437125 
InterfModel=0 11 | 0.191064 | 0.0843614 | 0.334297 | 0.227364 | 0.504601 
InterfModel=0 12 | 0.205068 | 0.0853618 | 0.310069 | 0.252034 | 0.465529 
InterfModel=0 13 | 0.210737 | 0.0876959 | 0.327406 | 0.258568 | 0.443985 
InterfModel=0 14 | 0.191064 | 0.0883628 | 0.331407 | 0.250167 | 0.45326 
InterfModel=0 15 | 0.219333 | 0.0883628 | 0.322072 | 0.278437 | 0.446993 
InterfModel=0 16 | 0.197399 | 0.0846949 | 0.291176 | 0.314617 | 0.470463 
InterfModel=0 17 | 0.223741 | 0.0860287 | 0.280507 | 0.29968 | 0.439659 
InterfModel=0 18 | 0.211737 | 0.0833611 | 0.274789 | 0.246433 | 0.486065 
InterfModel=0 19 | 0.208333 | 0.0770257 | 0.324739 | 0.262968 | 0.418856 
InterfModel=0 20 | 0.189063 | 0.078026 | 0.31896 | 0.280875 | 0.441259 
InterfModel=0 21 | 0.21007 | 0.0880293 | 0.344889 | 0.252201 | 0.45052 
InterfModel=0 22 | 0.203401 | 0.0883333 | 0.310958 | 0.273333 | 0.453454 
InterfModel=0 23 | 0.215072 | 0.0893631 | 0.258946 | 0.299107 | 0.465057 
InterfModel=0 24 | 0.205402 | 0.0836946 | 0.304734 | 0.281638 | 0.426324 
InterfModel=0 25 | 0.211737 | 0.0736912 | 0.318515 | 0.284838 | 0.443392 
InterfModel=0 26 | 0.199066 | 0.0773591 | 0.282063 | 0.270169 | 0.447926 
InterfModel=0 27 | 0.205735 | 0.0876667 | 0.304957 | 0.260568 | 0.470729 
InterfModel=0 28 | 0.216333 | 0.0860287 | 0.299178 | 0.26247 | 0.432458 
InterfModel=0 29 | 0.192064 | 0.0830277 | 0.277395 | 0.261368 | 0.469396 
InterfModel=0 30 | 0.211737 | 0.0763588 | 0.290064 | 0.222133 | 0.476063 
InterfModel=0 31 | 0.216405 | 0.0766922 | 0.303623 | 0.283904 | 0.433791 
InterfModel=0 32 | 0.213404 | 0.0790263 | 0.304957 | 0.291411 | 0.456327 
InterfModel=0 33 | 0.198066 | 0.0953651 | 0.254279 | 0.263902 | 0.468329 
InterfModel=0 34 | 0.208069 | 0.084028 | 0.275395 | 0.272036 | 0.437925 
InterfModel=0 35 | 0.232077 | 0.0783594 | 0.281174 | 0.264569 | 0.481131 
InterfModel=0 36 | 0.197667 | 0.0843614 | 0.278506 | 0.245766 | 0.478528 
InterfModel=0 37 | 0.204068 | 0.0793598 | 0.284285 | 0.240032 | 0.467662 
InterfModel=0 38 | 0.204735 | 0.0953651 | 0.280062 | 0.258933 | 0.469529 
InterfModel=0 39 | 0.21874 | 0.0793598 | 0.278951 | 0.299107 | 0.437125 
InterfModel=0 40 | 0.21007 | 0.0833611 | 0.314959 | 0.2904 | 0.456522 
InterfModel=0 41 | 0.21974 | 0.0890297 | 0.27984 | 0.285638 | 0.427714 
InterfModel=0 42 | 0.204401 | 0.0830277 | 0.300511 | 0.245099 | 0.458728 
InterfModel=0 43 | 0.191731 | 0.0856667 | 0.284952 | 0.301067 | 0.424057 
InterfModel=0 44 | 0.208736 | 0.0783594 | 0.302 | 0.272206 | 0.447526 
InterfModel=0 45 | 0.204735 | 0.0823608 | 0.302444 | 0.291506 | 0.440459 
InterfModel=0 46 | 0.177392 | 0.0793598 | 0.341409 | 0.2511 | 0.459395 
InterfModel=0 47 | 0.223074 | 0.087029 | 0.294288 | 0.287905 | 0.428324 
InterfModel=0 48 | 0.187062 | 0.0793333 | 0.305179 | 0.258069 | 0.495866 
InterfModel=0 49 | 0.205735 | 0.0820273 | 0.322738 | 0.245366 | 0.454061 
InterfModel=0 50 | 0.197733 | 0.0836946 | 0.290287 | 0.268605 | 0.440918 
InterfModel=0 51 | 0.207736 | 0.0820273 | 0.275839 | 0.2498 | 0.447453 
InterfModel=0 52 | 0.212404 | 0.0860287 | 0.296667 | 0.236565 | 0.481398 
InterfModel=0 53 | 0.198667 | 0.0896966 | 0.33074 | 0.239099 | 0.470329 
InterfModel=0 54 | 0.184395 | 0.0850284 | 0.331185 | 0.284838 | 0.413655 
InterfModel=0 55 | 0.212071 | 0.0813605 | 0.316737 | 0.294573 | 0.445259 
InterfModel=0 56 | 0.212404 | 0.0943648 | 0.271838 | 0.252034 | 0.442667 
InterfModel=0 57 | 0.214738 | 0.0833611 | 0.27784 | 0.265635 | 0.464862 
InterfModel=0 58 | 0.204401 | 0.0710237 | 0.308444 | 0.269503 | 0.443259 
InterfModel=0 59 | 0.216739 | 0.0856952 | 0.241609 | 0.27217 | 0.444785 
InterfModel=0 60 | 0.202734 | 0.0766922 | 0.264726 | 0.231898 | 0.47433 
InterfModel=0 61 | 0.186729 | 0.0830277 | 0.303401 | 0.272436 | 0.465057 
InterfModel=0 62 | 0.195732 | 0.0850284 | 0.346744 | 0.249633 | 0.487398 
InterfModel=0 63 | 0.214 | 0.0793598 | 0.316889 | 0.239365 | 0.491132 
InterfModel=0 64 | 0.220073 | 0.0843614 | 0.310513 | 0.264435 | 0.453927 
InterfModel=0 65 | 0.200067 | 0.0836946 | 0.315848 | 0.3056 | 0.432458 
InterfModel=0 66 | 0.213071 | 0.0803601 | 0.291556 | 0.27137 | 0.461262 
InterfModel=0 67 | 0.21107 | 0.0813605 | 0.29651 | 0.258835 | 0.479664 
InterfModel=0 68 | 0.221741 | 0.0836946 | 0.287175 | 0.286972 | 0.43705 
InterfModel=0 69 | 0.202734 | 0.0836946 | 0.306513 | 0.27297 | 0.494066 
InterfModel=0 70 | 0.197733 | 0.0993664 | 0.294954 | 0.27474 | 0.441526 
InterfModel=0 71 | 0.1994 | 0.087029 | 0.300289 | 0.295773 | 0.441526 
InterfModel=0 72 | 0.218406 | 0.0773591 | 0.276284 | 0.282667 | 0.457261 
InterfModel=0 73 | 0.214738 | 0.0820273 | 0.308513 | 0.283333 | 0.426247 
InterfModel=0 74 | 0.206402 | 0.0783594 | 0.299622 | 0.274437 | 0.454121 
InterfModel=0 75 | 0.200067 | 0.0913333 | 0.297177 | 0.296973 | 0.45206 
InterfModel=0 76 | 0.200067 | 0.0826942 | 0.317182 | 0.289239 | 0.441792 
InterfModel=0 77 | 0.192397 | 0.0823333 | 0.280285 | 0.27577 | 0.475333 
InterfModel=0 78 | 0.206402 | 0.0863621 | 0.266667 | 0.281104 | 0.4664 
InterfModel=0 79 | 0.215072 | 0.0843614 | 0.3503 | 0.261235 | 0.421256 
InterfModel=0 80 | 0.204401 | 0.0893631 | 0.250278 | 0.259101 | 0.459261 
InterfModel=0 81 | 0.197733 | 0.0776926 | 0.271171 | 0.268969 | 0.469929 
InterfModel=0 82 | 0.220667 | 0.0766922 | 0.307402 | 0.280208 | 0.448593 
InterfModel=0 83 | 0.212738 | 0.0726909 | 0.2994 | 0.293412 | 0.463395 
InterfModel=0 84 | 0.216 | 0.0860287 | 0.270949 | 0.288305 | 0.436592 
InterfModel=0 85 | 0.196065 | 0.082 | 0.32585 | 0.294839 | 0.425447 
InterfModel=0 86 | 0.200067 | 0.0820273 | 0.348966 | 0.237333 | 0.452327 
InterfModel=0 87 | 0.212071 | 0.0956666 | 0.259613 | 0.276207 | 0.466729 
InterfModel=0 88 | 0.203735 | 0.0856952 | 0.271616 | 0.288705 | 0.419445 
InterfModel=0 89 | 0.222741 | 0.0783594 | 0.343556 | 0.2652 | 0.440533 
InterfModel=0 90 | 0.226742 | 0.0790263 | 0.335852 | 0.261502 | 0.456994 
InterfModel=0 91 | 0.195732 | 0.0786929 | 0.318293 | 0.265538 | 0.456728 
InterfModel=0 92 | 0.1994 | 0.0946667 | 0.312292 | 0.294439 | 0.434591 
InterfModel=0 93 | 0.192064 | 0.0863621 | 0.298289 | 0.29928 | 0.466062 
InterfModel=0 94 | 0.196732 | 0.0803601 | 0.33363 | 0.246433 | 0.455794 
InterfModel=0 95 | 0.210737 | 0.0770257 | 0.270949 | 0.27657 | 0.460195 
InterfModel=0 96 | 0.207667 | 0.084028 | 0.307402 | 0.267636 | 0.42659 
InterfModel=0 97 | 0.199066 | 0.0876959 | 0.306957 | 0.285105 | 0.428457 
InterfModel=0 98 | 0.212333 | 0.0783333 | 0.333185 | 0.250467 | 0.469325 
InterfModel=0 99 | 0.206069 | 0.0936979 | 0.2994 | 0.27817 | 0.419445 
InterfModel=1 0 | 0.366122 | 0.262087 | 0.459658 | 0.490199 | 0.694852 
InterfModel=1 1 | 0.374792 | 0.274758 | 0.463881 | 0.493132 | 0.687783 
InterfModel=1 2 | 0.368333 | 0.277092 | 0.447433 | 0.485931 | 0.717296 
InterfModel=1 3 | 0.348116 | 0.263421 | 0.504334 | 0.468658 | 0.682358 
InterfModel=1 4 | 0.342 | 0.252667 | 0.466326 | 0.464595 | 0.71059 
InterfModel=1 5 | 0.370457 | 0.247082 | 0.528784 | 0.471059 | 0.687158 
InterfModel=1 6 | 0.346782 | 0.272 | 0.516559 | 0.461467 | 0.695026 
InterfModel=1 7 | 0.360787 | 0.273091 | 0.497666 | 0.483131 | 0.690225 
InterfModel=1 8 | 0.389463 | 0.268756 | 0.508557 | 0.462257 | 0.689292 
InterfModel=1 9 | 0.356452 | 0.277092 | 0.490776 | 0.457794 | 0.712495 
InterfModel=1 10 | 0.36012 | 0.274758 | 0.479662 | 0.479861 | 0.700893 
InterfModel=1 11 | 0.342447 | 0.274425 | 0.479662 | 0.500133 | 0.697826 
InterfModel=1 12 | 0.37846 | 0.272091 | 0.451656 | 0.492066 | 0.705294 
InterfModel=1 13 | 0.363121 | 0.268423 | 0.44321 | 0.496266 | 0.702227 
InterfModel=1 14 | 0.332444 | 0.27876 | 0.468326 | 0.464329 | 0.704761 
InterfModel=1 15 | 0.372791 | 0.272091 | 0.503445 | 0.463528 | 0.678624 
InterfModel=1 16 | 0.348116 | 0.245415 | 0.479218 | 0.466996 | 0.702321 
InterfModel=1 17 | 0.356786 | 0.288429 | 0.501222 | 0.494333 | 0.697026 
InterfModel=1 18 | 0.344115 | 0.272424 | 0.524116 | 0.487532 | 0.652087 
InterfModel=1 19 | 0.364121 | 0.272424 | 0.470994 | 0.499066 | 0.682982 
InterfModel=1 20 | 0.371791 | 0.267089 | 0.493665 | 0.482598 | 0.693292 
InterfModel=1 21 | 0.358453 | 0.277426 | 0.490998 | 0.461856 | 0.692759 
InterfModel=1 22 | 0.364121 | 0.272091 | 0.446889 | 0.463929 | 0.702267 
InterfModel=1 23 | 0.347449 | 0.267422 | 0.496777 | 0.468462 | 0.693959 
