CastaliaResults -i saida.txt -s Packets received per node -n --all -o2                                                                       

Application:Packets received per node
 | index=1 | index=2 | index=3 | index=4 | index=5
InterfModel=0 | 2381.39 | 2747.64 | 3151.94 | 5477.01 | 4101.28 
InterfModel=1 | 1912.54 | 2187.18 | 2333.18 | 3894.83 | 2283.47 
InterfModel=2 | 2131.49 | 2828.62 | 2682.31 | 4919.48 | 3052.89 
Application:Packets received per node - all values
 | index=1 | index=2 | index=3 | index=4 | index=5
InterfModel=0 0 | 2392 | 2753 | 3236 | 5480 | 4041 
InterfModel=0 1 | 2450 | 2736 | 3213 | 5645 | 4047 
InterfModel=0 2 | 2338 | 2741 | 3291 | 5592 | 4061 
InterfModel=0 3 | 2297 | 2726 | 2960 | 5584 | 4136 
InterfModel=0 4 | 2409 | 2746 | 3062 | 5737 | 4083 
InterfModel=0 5 | 2384 | 2744 | 3331 | 5497 | 4178 
InterfModel=0 6 | 2428 | 2745 | 3216 | 5443 | 4156 
InterfModel=0 7 | 2418 | 2749 | 3172 | 5657 | 3914 
InterfModel=0 8 | 2342 | 2757 | 3268 | 5558 | 4173 
InterfModel=0 9 | 2414 | 2708 | 3228 | 5316 | 4179 
InterfModel=0 10 | 2400 | 2749 | 3077 | 5257 | 4221 
InterfModel=0 11 | 2426 | 2746 | 2995 | 5794 | 3715 
InterfModel=0 12 | 2384 | 2743 | 3104 | 5609 | 4008 
InterfModel=0 13 | 2367 | 2736 | 3026 | 5560 | 4169 
InterfModel=0 14 | 2426 | 2734 | 3008 | 5623 | 4100 
InterfModel=0 15 | 2342 | 2734 | 3050 | 5411 | 4147 
InterfModel=0 16 | 2407 | 2745 | 3189 | 5139 | 3971 
InterfModel=0 17 | 2328 | 2741 | 3237 | 5251 | 4202 
InterfModel=0 18 | 2364 | 2749 | 3262 | 5651 | 3854 
InterfModel=0 19 | 2375 | 2768 | 3038 | 5527 | 4358 
InterfModel=0 20 | 2432 | 2765 | 3064 | 5392 | 4190 
InterfModel=0 21 | 2369 | 2735 | 2948 | 5607 | 4120 
InterfModel=0 22 | 2389 | 2735 | 3100 | 5450 | 4098 
InterfModel=0 23 | 2354 | 2731 | 3334 | 5256 | 4011 
InterfModel=0 24 | 2383 | 2748 | 3128 | 5387 | 4302 
InterfModel=0 25 | 2364 | 2778 | 3066 | 5363 | 4174 
InterfModel=0 26 | 2402 | 2767 | 3230 | 5473 | 4140 
InterfModel=0 27 | 2382 | 2737 | 3127 | 5545 | 3969 
InterfModel=0 28 | 2351 | 2741 | 3153 | 5530 | 4256 
InterfModel=0 29 | 2423 | 2750 | 3251 | 5539 | 3979 
InterfModel=0 30 | 2364 | 2770 | 3194 | 5834 | 3929 
InterfModel=0 31 | 2350 | 2769 | 3133 | 5370 | 4246 
InterfModel=0 32 | 2359 | 2762 | 3127 | 5313 | 4077 
InterfModel=0 33 | 2405 | 2713 | 3355 | 5520 | 3987 
