CastaliaResults -i saida.txt -s Packets reception rate -n --all -o2                                                                    

Application:Packets reception rate - total
 | index=1 | index=2 | index=3 | index=4 | index=5
InterfModel=0 | 0.928 | 0.983 | 0.898 | 0.763 | 0.779 
InterfModel=1 | 0.838 | 0.887 | 0.622 | 0.612 | 0.595 
InterfModel=2 | 0.855 | 0.962 | 0.672 | 0.727 | 0.793 
Application:Packets reception rate - all values
 | index=1 | index=2 | index=3 | index=4 | index=5
InterfModel=0 0 | 0.931977 | 0.97966 | 0.884863 | 0.755701 | 0.792372 
InterfModel=0 1 | 0.928976 | 0.984662 | 0.8982 | 0.766102 | 0.786638 
InterfModel=0 2 | 0.930977 | 0.97966 | 0.917315 | 0.762667 | 0.77757 
InterfModel=0 3 | 0.916639 | 0.983661 | 0.910425 | 0.764235 | 0.765302 
InterfModel=0 4 | 0.925308 | 0.982661 | 0.903312 | 0.755668 | 0.784876 
InterfModel=0 5 | 0.924975 | 0.982994 | 0.89731 | 0.77157 | 0.773673 
InterfModel=0 6 | 0.925975 | 0.984995 | 0.88553 | 0.752367 | 0.793172 
InterfModel=0 7 | 0.930977 | 0.984995 | 0.897755 | 0.765035 | 0.781171 
InterfModel=0 8 | 0.924642 | 0.985328 | 0.903312 | 0.751967 | 0.769169 
InterfModel=0 9 | 0.933645 | 0.982994 | 0.886864 | 0.760101 | 0.776904 
InterfModel=0 10 | 0.926642 | 0.986 | 0.908424 | 0.76167 | 0.779571 
InterfModel=0 11 | 0.933645 | 0.980994 | 0.906646 | 0.751967 | 0.776637 
InterfModel=0 12 | 0.926309 | 0.985328 | 0.887753 | 0.767836 | 0.77757 
InterfModel=0 13 | 0.92064 | 0.985662 | 0.885752 | 0.7521 | 0.794612 
InterfModel=0 14 | 0.93131 | 0.979326 | 0.891531 | 0.767569 | 0.776504 
InterfModel=0 15 | 0.922667 | 0.980327 | 0.877084 | 0.759568 | 0.786505 
InterfModel=0 16 | 0.932644 | 0.982327 | 0.90509 | 0.763137 | 0.776237 
InterfModel=0 17 | 0.919306 | 0.97866 | 0.900645 | 0.763804 | 0.775037 
InterfModel=0 18 | 0.932311 | 0.985328 | 0.90707 | 0.771836 | 0.791039 
InterfModel=0 19 | 0.926333 | 0.983995 | 0.901089 | 0.781704 | 0.767036 
InterfModel=0 20 | 0.935312 | 0.981994 | 0.895755 | 0.750734 | 0.80344 
InterfModel=0 21 | 0.928643 | 0.987996 | 0.887333 | 0.755135 | 0.777407 
InterfModel=0 22 | 0.922307 | 0.982 | 0.913759 | 0.7392 | 0.786876 
InterfModel=0 23 | 0.93031 | 0.983995 | 0.914648 | 0.766102 | 0.783409 
InterfModel=0 24 | 0.93131 | 0.982661 | 0.902867 | 0.760635 | 0.770636 
InterfModel=0 25 | 0.923641 | 0.986329 | 0.917759 | 0.7509 | 0.786238 
