CastaliaResults -i saida.txt -s Energy nJ/bit -n --all -o2                                                           

Application:Energy nJ/bit
 | node=1 | node=2 | node=3 | node=4 | node=5
InterfModel=0 | 101.244 | 99.671 | 67.514 | 49.707 | 49.264 
InterfModel=1 | 107.511 | 105.74 | 79.741 | 61.045 | 62.488 
InterfModel=2 | 105.867 | 100.805 | 75.273 | 53.755 | 51.788 
Application:Energy nJ/bit - all values
 | node=1 | node=2 | node=3 | node=4 | node=5
InterfModel=0 0 | 100.997 | 99.9144 | 66.6889 | 49.747 | 49.6252 
InterfModel=0 1 | 101.784 | 100.213 | 67.4423 | 49.5277 | 49.7428 
InterfModel=0 2 | 100.436 | 99.8483 | 68.1457 | 49.4634 | 48.1795 
InterfModel=0 3 | 101.954 | 99.7631 | 66.7336 | 49.6252 | 49.3585 
InterfModel=0 4 | 101.887 | 99.3966 | 66.9112 | 50.4326 | 48.4535 
InterfModel=0 5 | 100.743 | 99.5871 | 67.3262 | 48.7613 | 49.3713 
InterfModel=0 6 | 100.552 | 99.4956 | 67.3077 | 49.578 | 49.4343 
InterfModel=0 7 | 99.3374 | 99.5396 | 67.3552 | 50.677 | 48.271 
InterfModel=0 8 | 101.935 | 99.6537 | 66.8184 | 50.8157 | 48.9027 
InterfModel=0 9 | 100.785 | 99.5774 | 67.592 | 49.9158 | 49.0513 
InterfModel=0 10 | 101.017 | 99.4198 | 67.3999 | 49.0535 | 50.5586 
InterfModel=0 11 | 100.831 | 99.8614 | 68.196 | 48.8446 | 50.184 
InterfModel=0 12 | 101.258 | 99.767 | 67.4289 | 49.5406 | 49.6546 
InterfModel=0 13 | 102.837 | 99.4792 | 67.8022 | 50.5379 | 49.4065 
InterfModel=0 14 | 102.251 | 99.5286 | 67.2645 | 49.9397 | 48.2109 
InterfModel=0 15 | 99.8272 | 99.5602 | 66.6948 | 49.4671 | 49.0234 
InterfModel=0 16 | 101.138 | 99.4923 | 67.1293 | 48.2632 | 50.3382 
InterfModel=0 17 | 101.976 | 99.4811 | 68.4066 | 49.7197 | 48.2916 
InterfModel=0 18 | 101.908 | 99.9887 | 68.0048 | 49.0721 | 49.4241 
InterfModel=0 19 | 101.17 | 99.6356 | 68.2351 | 49.4552 | 49.7783 
InterfModel=0 20 | 100.823 | 99.4484 | 67.5483 | 49.9745 | 49.492 
InterfModel=0 21 | 101.464 | 99.5733 | 67.0716 | 49.6258 | 48.9841 
InterfModel=0 22 | 101.03 | 99.544 | 67.448 | 49.9302 | 49.8285 
InterfModel=0 23 | 101.864 | 99.9367 | 67.2718 | 49.0167 | 48.6404 
InterfModel=0 24 | 101.137 | 99.4856 | 67.1689 | 49.7733 | 49.5395 
InterfModel=0 25 | 101.216 | 99.6748 | 68.1799 | 50.0121 | 48.4526 
InterfModel=0 26 | 100.285 | 99.6584 | 67.0735 | 49.4734 | 49.4806 
InterfModel=0 27 | 101.764 | 99.5118 | 67.0742 | 49.8661 | 49.1322 
InterfModel=0 28 | 101.758 | 99.143 | 68.2896 | 50.2905 | 49.0455 
InterfModel=0 29 | 100.937 | 99.3569 | 68.3567 | 49.9019 | 49.0681 
InterfModel=0 30 | 101.413 | 99.8453 | 66.8884 | 48.9098 | 49.3982 
InterfModel=0 31 | 100.947 | 100.088 | 68.08 | 49.309 | 49.6622 
InterfModel=0 32 | 101.924 | 99.9606 | 68.0693 | 49.4039 | 49.7303 
InterfModel=0 33 | 101.254 | 99.6038 | 67.5233 | 50.2291 | 49.6429 
InterfModel=0 34 | 101.512 | 99.8839 | 66.9917 | 49.7016 | 49.765 
InterfModel=0 35 | 101.002 | 99.8055 | 67.9844 | 49.7901 | 48.813 
InterfModel=0 36 | 101.292 | 99.8601 | 66.9629 | 49.574 | 49.6103 
InterfModel=0 37 | 100.815 | 100.041 | 68.3523 | 49.5735 | 49.4229 
InterfModel=0 38 | 100.8 | 99.6789 | 67.4076 | 49.2488 | 49.4509 
InterfModel=0 39 | 100.974 | 99.0314 | 67.7608 | 50.2285 | 49.3718 
InterfModel=0 40 | 101.04 | 99.9366 | 67.8026 | 50.45 | 48.941 
InterfModel=0 41 | 100.963 | 99.8544 | 68.3772 | 49.2591 | 49.9299 
InterfModel=0 42 | 100.762 | 99.6112 | 66.7137 | 50.6685 | 48.0458 
InterfModel=0 43 | 101.54 | 99.711 | 67.9266 | 49.641 | 50.37 
InterfModel=0 44 | 101.965 | 99.605 | 67.1623 | 49.3769 | 49.7553 
InterfModel=0 45 | 100.728 | 99.3638 | 67.563 | 49.9931 | 48.9774 
InterfModel=0 46 | 101.144 | 99.5349 | 66.8144 | 50.0432 | 48.8507 
InterfModel=0 47 | 101.089 | 99.769 | 67.5006 | 51.0749 | 47.8568 
InterfModel=0 48 | 100.749 | 99.4356 | 68.0588 | 50.2457 | 49.2808 
InterfModel=0 49 | 101.341 | 99.8547 | 67.0988 | 49.2926 | 49.3347 
InterfModel=0 50 | 101.209 | 99.1307 | 67.8621 | 50.059 | 48.4406 
InterfModel=0 51 | 101.001 | 99.7869 | 68.0935 | 49.989 | 49.3786 
InterfModel=0 52 | 100.911 | 99.8906 | 67.8178 | 49.4103 | 48.9061 
InterfModel=0 53 | 100.861 | 99.6481 | 67.4753 | 49.9943 | 49.5897 
InterfModel=0 54 | 101.248 | 99.3134 | 67.0675 | 50.1558 | 49.2005 
InterfModel=0 55 | 99.2581 | 100.029 | 68.0292 | 49.4263 | 48.8379 
InterfModel=0 56 | 101.799 | 99.8586 | 67.166 | 49.1275 | 49.8426 
InterfModel=0 57 | 101.238 | 100.166 | 66.8322 | 49.3042 | 49.661 
InterfModel=0 58 | 100.675 | 99.4223 | 67.1014 | 49.7091 | 49.6877 
InterfModel=0 59 | 100.478 | 99.8566 | 67.0032 | 49.3091 | 49.8802 
InterfModel=0 60 | 102.102 | 99.2041 | 67.4531 | 50.3327 | 47.5856 
InterfModel=0 61 | 99.929 | 99.4186 | 67.6993 | 50.6954 | 48.2915 
InterfModel=0 62 | 101.206 | 99.5814 | 67.0327 | 48.8031 | 50.0003 
InterfModel=0 63 | 100.306 | 99.4276 | 67.2275 | 48.6523 | 49.6633 
InterfModel=0 64 | 101.466 | 99.8911 | 67.5574 | 50.7309 | 48.4631 
InterfModel=0 65 | 102.765 | 99.4301 | 67.5967 | 49.6765 | 49.0322 
InterfModel=0 66 | 101.169 | 99.9469 | 67.9454 | 49.4104 | 49.5931 
InterfModel=0 67 | 101.575 | 99.8511 | 68.2612 | 50.0254 | 49.1276 
InterfModel=0 68 | 100.576 | 99.8366 | 67.4516 | 49.6171 | 49.5314 
InterfModel=0 69 | 102.307 | 99.7208 | 67.5985 | 48.8995 | 50.2824 
InterfModel=0 70 | 102.536 | 99.8428 | 66.8447 | 49.3548 | 49.8796 
InterfModel=0 71 | 101.53 | 99.7835 | 67.9202 | 49.3158 | 50.1615 
InterfModel=0 72 | 101.705 | 99.4983 | 68.2354 | 49.8079 | 49.4389 
InterfModel=0 73 | 102.229 | 99.4361 | 67.9475 | 49.2706 | 49.7351 
InterfModel=0 74 | 100.813 | 99.6381 | 67.8235 | 48.8167 | 49.9295 
