CastaliaResults -i saida.txt -s Packet Breakdown -n --all -o2                                                              

Communication.MAC:Packet breakdown
 | Failed, buffer overflow | Failed, busy channel | Failed, no ack | Success, first try | Success, not first try
InterfModel=0,node=1 | 0 | 19.14 | 119.73 | 2092.28 | 766.45 
InterfModel=0,node=2 | 0 | 20.07 | 22.95 | 2210.4 | 744.25 
InterfModel=0,node=3 | 2.81 | 18.75 | 243.89 | 3241.39 | 985.87 
InterfModel=0,node=4 | 1534.7 | 19.29 | 48.92 | 4738.91 | 1125.59 
InterfModel=0,node=5 | 1491.68 | 13.81 | 121.55 | 4594.6 | 1246.34 
InterfModel=1,node=1 | 0 | 21.13 | 285.94 | 1804.19 | 885.56 
InterfModel=1,node=2 | 0 | 21.81 | 195.63 | 1876.48 | 903.1 
InterfModel=1,node=3 | 440.46 | 19.6 | 439.53 | 2526.48 | 1046.31 
InterfModel=1,node=4 | 2536.43 | 22.82 | 127.91 | 3577.26 | 1202.73 
InterfModel=1,node=5 | 2573.8 | 14.3 | 275.55 | 3297.17 | 1306.38 
InterfModel=2,node=1 | 0 | 20.02 | 249.19 | 1882.59 | 845.09 
InterfModel=2,node=2 | 0 | 22.4 | 52.06 | 2222.6 | 700.62 
InterfModel=2,node=3 | 266.68 | 18.53 | 401.18 | 2740.77 | 1047.91 
InterfModel=2,node=4 | 1957.85 | 23.34 | 59.91 | 4399.59 | 1026.93 
InterfModel=2,node=5 | 1758.77 | 14.93 | 133.05 | 4450.61 | 1110.14 
Communication.MAC:Packet breakdown - all values
 | Failed, buffer overflow | Failed, busy channel | Failed, no ack | Success, first try | Success, not first try
InterfModel=0,node=1 0 | - | 14 | 113 | 2063 | 806 
InterfModel=0,node=1 1 | - | 19 | 124 | 2112 | 742 
InterfModel=0,node=1 2 | - | 12 | 105 | 2105 | 775 
InterfModel=0,node=1 3 | - | 22 | 119 | 2126 | 731 
InterfModel=0,node=1 4 | - | 27 | 132 | 2085 | 754 
InterfModel=0,node=1 5 | - | 14 | 115 | 2151 | 716 
InterfModel=0,node=1 6 | - | 18 | 110 | 2101 | 769 
InterfModel=0,node=1 7 | - | 18 | 83 | 2130 | 768 
InterfModel=0,node=1 8 | - | 19 | 130 | 2046 | 803 
