CastaliaResults -i saida.txt -s Estimated network lifetime --all -o2                                                                     

ResourceManager:Estimated network lifetime (days)
 | InterfModel=0 | InterfModel=1 | InterfModel=2
 | 69.939 | 69.935 | 69.938 
ResourceManager:Estimated network lifetime (days) - all values
 | InterfModel=0 | InterfModel=1 | InterfModel=2
 0 | 69.9399 | 69.9312 | 69.9339 
 1 | 69.9396 | 69.9312 | 69.9392 
 2 | 69.9438 | 69.9399 | 69.9397 
 3 | 69.9421 | 69.9314 | 69.942 
 4 | 69.935 | 69.9344 | 69.9424 
 5 | 69.9379 | 69.9363 | 69.9397 
 6 | 69.9371 | 69.9386 | 69.9341 
 7 | 69.9398 | 69.9349 | 69.935 
 8 | 69.936 | 69.9378 | 69.9396 
 9 | 69.9407 | 69.9363 | 69.937 
 10 | 69.9434 | 69.9332 | 69.9389 
 11 | 69.9349 | 69.9383 | 69.9366 
 12 | 69.9414 | 69.9407 | 69.9383 
 13 | 69.9395 | 69.9316 | 69.9329 
 14 | 69.9431 | 69.9302 | 69.9353 
 15 | 69.9407 | 69.9412 | 69.9394 
 16 | 69.9447 | 69.9394 | 69.9348 
 17 | 69.9425 | 69.9329 | 69.9395 
 18 | 69.935 | 69.9341 | 69.9347 
 19 | 69.9365 | 69.9347 | 69.9414 
 20 | 69.943 | 69.9321 | 69.9421 
 21 | 69.9339 | 69.9409 | 69.9409 
 22 | 69.9443 | 69.9319 | 69.9391 
 23 | 69.9343 | 69.9305 | 69.9416 
 24 | 69.9357 | 69.9401 | 69.9328 
 25 | 69.936 | 69.9304 | 69.9332 
 26 | 69.942 | 69.9339 | 69.9363 
 27 | 69.9388 | 69.9314 | 69.9353 
 28 | 69.9387 | 69.9326 | 69.9424 
 29 | 69.9386 | 69.9362 | 69.9353 
 30 | 69.94 | 69.9389 | 69.9342 
 31 | 69.9374 | 69.9327 | 69.9346 
 32 | 69.9363 | 69.93 | 69.9383 
 33 | 69.935 | 69.9341 | 69.9387 
 34 | 69.935 | 69.9335 | 69.9331 
 35 | 69.9375 | 69.9383 | 69.9325 
 36 | 69.9381 | 69.939 | 69.9339 
 37 | 69.944 | 69.9316 | 69.9357 
 38 | 69.9416 | 69.9352 | 69.9341 
 39 | 69.9443 | 69.9396 | 69.9421 
 40 | 69.9418 | 69.9364 | 69.936 
 41 | 69.9414 | 69.9387 | 69.9399 
 42 | 69.9436 | 69.9384 | 69.9434 
 43 | 69.9417 | 69.9334 | 69.9422 
 44 | 69.9378 | 69.9402 | 69.9347 
 45 | 69.9362 | 69.9367 | 69.939 
 46 | 69.9425 | 69.9335 | 69.9339 
 47 | 69.9389 | 69.9365 | 69.9424 
 48 | 69.9417 | 69.9345 | 69.935 
 49 | 69.9346 | 69.9343 | 69.9425 
 50 | 69.9441 | 69.9316 | 69.9423 
 51 | 69.9371 | 69.9366 | 69.9366 
 52 | 69.9413 | 69.9298 | 69.933 
 53 | 69.9357 | 69.9404 | 69.9427 
 54 | 69.942 | 69.94 | 69.937 
 55 | 69.9419 | 69.9393 | 69.9376 
 56 | 69.9361 | 69.9339 | 69.9434 
 57 | 69.9342 | 69.9407 | 69.933 
 58 | 69.9356 | 69.9345 | 69.9362 
 59 | 69.9385 | 69.9395 | 69.9397 
 60 | 69.9396 | 69.9327 | 69.9359 
 61 | 69.937 | 69.935 | 69.9337 
 62 | 69.9404 | 69.9396 | 69.9367 
 63 | 69.9428 | 69.9356 | 69.9413 
 64 | 69.936 | 69.9341 | 69.938 
 65 | 69.9353 | 69.9302 | 69.943 
 66 | 69.934 | 69.934 | 69.9383 
 67 | 69.9405 | 69.9307 | 69.9369 
 68 | 69.9375 | 69.9356 | 69.9383 
 69 | 69.9417 | 69.9302 | 69.9351 
 70 | 69.9441 | 69.9299 | 69.9329 
 71 | 69.9389 | 69.9338 | 69.9425 
 72 | 69.9437 | 69.9382 | 69.9355 
 73 | 69.9357 | 69.9351 | 69.9331 
 74 | 69.9396 | 69.9314 | 69.9362 
 75 | 69.9401 | 69.9391 | 69.9347 
 76 | 69.9417 | 69.941 | 69.9378 
 77 | 69.9454 | 69.9319 | 69.9353 
 78 | 69.9423 | 69.9321 | 69.935 
 79 | 69.9371 | 69.9325 | 69.942 
 80 | 69.9348 | 69.9321 | 69.933 
 81 | 69.9447 | 69.9341 | 69.9333 
 82 | 69.9348 | 69.9317 | 69.9343 
 83 | 69.9428 | 69.9398 | 69.9429 
 84 | 69.9412 | 69.9388 | 69.9398 
 85 | 69.9426 | 69.9404 | 69.9369 
 86 | 69.9344 | 69.9309 | 69.9367 
 87 | 69.9432 | 69.932 | 69.9329 
 88 | 69.9412 | 69.9383 | 69.9405 
 89 | 69.9354 | 69.9365 | 69.9404 
 90 | 69.9363 | 69.9359 | 69.94 
 91 | 69.934 | 69.9351 | 69.9414 
 92 | 69.941 | 69.935 | 69.9389 
 93 | 69.9378 | 69.9404 | 69.9326 
 94 | 69.9406 | 69.9309 | 69.9431 
 95 | 69.9402 | 69.94 | 69.9387 
 96 | 69.9377 | 69.9333 | 69.9425 
 97 | 69.936 | 69.9396 | 69.9419 
 98 | 69.9377 | 69.9315 | 69.9397 
 99 | 69.9351 | 69.9305 | 69.9357 

