CastaliaResults -i saida.txt -s Remaining Energy -n --all -o2                                                              

ResourceManager:Remaining Energy
 | node=0 | node=1 | node=2 | node=3 | node=4 | node=5
InterfModel=0 | 18719.1 | 18719.8 | 18719.8 | 18719.8 | 18719.8 | 18719.8 
InterfModel=1 | 18719.1 | 18719.8 | 18719.8 | 18719.8 | 18719.8 | 18719.8 
InterfModel=2 | 18719.1 | 18719.8 | 18719.8 | 18719.8 | 18719.8 | 18719.8 
ResourceManager:Remaining Energy - all values
 | node=0 | node=1 | node=2 | node=3 | node=4 | node=5
InterfModel=0 0 | 18719.1 | 18719.8 | 18719.8 | 18719.8 | 18719.8 | 18719.8 
InterfModel=0 1 | 18719.1 | 18719.8 | 18719.8 | 18719.8 | 18719.8 | 18719.8 
InterfModel=0 2 | 18719.1 | 18719.8 | 18719.8 | 18719.8 | 18719.8 | 18719.8 
InterfModel=0 3 | 18719.1 | 18719.8 | 18719.8 | 18719.8 | 18719.8 | 18719.8 
InterfModel=0 4 | 18719.1 | 18719.8 | 18719.8 | 18719.8 | 18719.8 | 18719.8 
InterfModel=0 5 | 18719.1 | 18719.8 | 18719.8 | 18719.8 | 18719.8 | 18719.8 
InterfModel=0 6 | 18719.1 | 18719.8 | 18719.8 | 18719.8 | 18719.8 | 18719.8 
InterfModel=0 7 | 18719.1 | 18719.8 | 18719.8 | 18719.8 | 18719.8 | 18719.8 
InterfModel=0 8 | 18719.1 | 18719.8 | 18719.8 | 18719.8 | 18719.8 | 18719.8 
InterfModel=0 9 | 18719.1 | 18719.8 | 18719.8 | 18719.8 | 18719.8 | 18719.8 
InterfModel=0 10 | 18719.1 | 18719.8 | 18719.8 | 18719.8 | 18719.8 | 18719.8 
InterfModel=0 11 | 18719.1 | 18719.8 | 18719.8 | 18719.8 | 18719.8 | 18719.8 
InterfModel=0 12 | 18719.1 | 18719.8 | 18719.8 | 18719.8 | 18719.8 | 18719.8 
InterfModel=0 13 | 18719.1 | 18719.8 | 18719.8 | 18719.8 | 18719.8 | 18719.8 
InterfModel=0 14 | 18719.1 | 18719.8 | 18719.8 | 18719.8 | 18719.8 | 18719.8 
InterfModel=0 15 | 18719.1 | 18719.8 | 18719.8 | 18719.8 | 18719.8 | 18719.8 
InterfModel=0 16 | 18719.1 | 18719.8 | 18719.8 | 18719.8 | 18719.8 | 18719.8 
InterfModel=0 17 | 18719.1 | 18719.8 | 18719.8 | 18719.8 | 18719.8 | 18719.8 
InterfModel=0 18 | 18719.1 | 18719.8 | 18719.8 | 18719.8 | 18719.8 | 18719.8 
InterfModel=0 19 | 18719.1 | 18719.8 | 18719.8 | 18719.8 | 18719.8 | 18719.8 
InterfModel=0 20 | 18719.1 | 18719.8 | 18719.8 | 18719.8 | 18719.8 | 18719.8 
InterfModel=0 21 | 18719.1 | 18719.8 | 18719.8 | 18719.8 | 18719.8 | 18719.8 
InterfModel=0 22 | 18719.1 | 18719.8 | 18719.8 | 18719.8 | 18719.8 | 18719.8 
InterfModel=0 23 | 18719.1 | 18719.8 | 18719.8 | 18719.8 | 18719.8 | 18719.8 
InterfModel=0 24 | 18719.1 | 18719.8 | 18719.8 | 18719.8 | 18719.8 | 18719.8 
InterfModel=0 25 | 18719.1 | 18719.8 | 18719.8 | 18719.8 | 18719.8 | 18719.8 
InterfModel=0 26 | 18719.1 | 18719.8 | 18719.8 | 18719.8 | 18719.8 | 18719.8 
InterfModel=0 27 | 18719.1 | 18719.8 | 18719.8 | 18719.8 | 18719.8 | 18719.8 
InterfModel=0 28 | 18719.1 | 18719.8 | 18719.8 | 18719.8 | 18719.8 | 18719.8 
InterfModel=0 29 | 18719.1 | 18719.8 | 18719.8 | 18719.8 | 18719.8 | 18719.8 
InterfModel=0 30 | 18719.1 | 18719.8 | 18719.8 | 18719.8 | 18719.8 | 18719.8 
InterfModel=0 31 | 18719.1 | 18719.8 | 18719.8 | 18719.8 | 18719.8 | 18719.8 
InterfModel=0 32 | 18719.1 | 18719.8 | 18719.8 | 18719.8 | 18719.8 | 18719.8 
InterfModel=0 33 | 18719.1 | 18719.8 | 18719.8 | 18719.8 | 18719.8 | 18719.8 
InterfModel=0 34 | 18719.1 | 18719.8 | 18719.8 | 18719.8 | 18719.8 | 18719.8 
InterfModel=0 35 | 18719.1 | 18719.8 | 18719.8 | 18719.8 | 18719.8 | 18719.8 
InterfModel=0 36 | 18719.1 | 18719.8 | 18719.8 | 18719.8 | 18719.8 | 18719.8 
InterfModel=0 37 | 18719.1 | 18719.8 | 18719.8 | 18719.8 | 18719.8 | 18719.8 
InterfModel=0 38 | 18719.1 | 18719.8 | 18719.8 | 18719.8 | 18719.8 | 18719.8 
InterfModel=0 39 | 18719.1 | 18719.8 | 18719.8 | 18719.8 | 18719.8 | 18719.8 
InterfModel=0 40 | 18719.1 | 18719.8 | 18719.8 | 18719.8 | 18719.8 | 18719.8 
InterfModel=0 41 | 18719.1 | 18719.8 | 18719.8 | 18719.8 | 18719.8 | 18719.8 
InterfModel=0 42 | 18719.1 | 18719.8 | 18719.8 | 18719.8 | 18719.8 | 18719.8 
InterfModel=0 43 | 18719.1 | 18719.8 | 18719.8 | 18719.8 | 18719.8 | 18719.8 
InterfModel=0 44 | 18719.1 | 18719.8 | 18719.8 | 18719.8 | 18719.8 | 18719.8 
InterfModel=0 45 | 18719.1 | 18719.8 | 18719.8 | 18719.8 | 18719.8 | 18719.8 
InterfModel=0 46 | 18719.1 | 18719.8 | 18719.8 | 18719.8 | 18719.8 | 18719.8 
InterfModel=0 47 | 18719.1 | 18719.8 | 18719.8 | 18719.8 | 18719.8 | 18719.8 
InterfModel=0 48 | 18719.1 | 18719.8 | 18719.8 | 18719.8 | 18719.8 | 18719.8 
InterfModel=0 49 | 18719.1 | 18719.8 | 18719.8 | 18719.8 | 18719.8 | 18719.8 
InterfModel=0 50 | 18719.1 | 18719.8 | 18719.8 | 18719.8 | 18719.8 | 18719.8 
InterfModel=0 51 | 18719.1 | 18719.8 | 18719.8 | 18719.8 | 18719.8 | 18719.8 
InterfModel=0 52 | 18719.1 | 18719.8 | 18719.8 | 18719.8 | 18719.8 | 18719.8 
InterfModel=0 53 | 18719.1 | 18719.8 | 18719.8 | 18719.8 | 18719.8 | 18719.8 
InterfModel=0 54 | 18719.1 | 18719.8 | 18719.8 | 18719.8 | 18719.8 | 18719.8 
InterfModel=0 55 | 18719.1 | 18719.8 | 18719.8 | 18719.8 | 18719.8 | 18719.8 
InterfModel=0 56 | 18719.1 | 18719.8 | 18719.8 | 18719.8 | 18719.8 | 18719.8 
InterfModel=0 57 | 18719.1 | 18719.8 | 18719.8 | 18719.8 | 18719.8 | 18719.8 
InterfModel=0 58 | 18719.1 | 18719.8 | 18719.8 | 18719.8 | 18719.8 | 18719.8 
InterfModel=0 59 | 18719.1 | 18719.8 | 18719.8 | 18719.8 | 18719.8 | 18719.8 
InterfModel=0 60 | 18719.1 | 18719.8 | 18719.8 | 18719.8 | 18719.8 | 18719.8 
InterfModel=0 61 | 18719.1 | 18719.8 | 18719.8 | 18719.8 | 18719.8 | 18719.8 
InterfModel=0 62 | 18719.1 | 18719.8 | 18719.8 | 18719.8 | 18719.8 | 18719.8 
InterfModel=0 63 | 18719.1 | 18719.8 | 18719.8 | 18719.8 | 18719.8 | 18719.8 
InterfModel=0 64 | 18719.1 | 18719.8 | 18719.8 | 18719.8 | 18719.8 | 18719.8 
InterfModel=0 65 | 18719.1 | 18719.8 | 18719.8 | 18719.8 | 18719.8 | 18719.8 
InterfModel=0 66 | 18719.1 | 18719.8 | 18719.8 | 18719.8 | 18719.8 | 18719.8 
InterfModel=0 67 | 18719.1 | 18719.8 | 18719.8 | 18719.8 | 18719.8 | 18719.8 
InterfModel=0 68 | 18719.1 | 18719.8 | 18719.8 | 18719.8 | 18719.8 | 18719.8 
InterfModel=0 69 | 18719.1 | 18719.8 | 18719.8 | 18719.8 | 18719.8 | 18719.8 
InterfModel=0 70 | 18719.1 | 18719.8 | 18719.8 | 18719.8 | 18719.8 | 18719.8 
InterfModel=0 71 | 18719.1 | 18719.8 | 18719.8 | 18719.8 | 18719.8 | 18719.8 
InterfModel=0 72 | 18719.1 | 18719.8 | 18719.8 | 18719.8 | 18719.8 | 18719.8 
InterfModel=0 73 | 18719.1 | 18719.8 | 18719.8 | 18719.8 | 18719.8 | 18719.8 
InterfModel=0 74 | 18719.1 | 18719.8 | 18719.8 | 18719.8 | 18719.8 | 18719.8 
InterfModel=0 75 | 18719.1 | 18719.8 | 18719.8 | 18719.8 | 18719.8 | 18719.8 
InterfModel=0 76 | 18719.1 | 18719.8 | 18719.8 | 18719.8 | 18719.8 | 18719.8 
InterfModel=0 77 | 18719.1 | 18719.8 | 18719.8 | 18719.8 | 18719.8 | 18719.8 
InterfModel=0 78 | 18719.1 | 18719.8 | 18719.8 | 18719.8 | 18719.8 | 18719.8 
InterfModel=0 79 | 18719.1 | 18719.8 | 18719.8 | 18719.8 | 18719.8 | 18719.8 
InterfModel=0 80 | 18719.1 | 18719.8 | 18719.8 | 18719.8 | 18719.8 | 18719.8 
InterfModel=0 81 | 18719.1 | 18719.8 | 18719.8 | 18719.8 | 18719.8 | 18719.8 
InterfModel=0 82 | 18719.1 | 18719.8 | 18719.8 | 18719.8 | 18719.8 | 18719.8 
InterfModel=0 83 | 18719.1 | 18719.8 | 18719.8 | 18719.8 | 18719.8 | 18719.8 
InterfModel=0 84 | 18719.1 | 18719.8 | 18719.8 | 18719.8 | 18719.8 | 18719.8 
InterfModel=0 85 | 18719.1 | 18719.8 | 18719.8 | 18719.8 | 18719.8 | 18719.8 
InterfModel=0 86 | 18719.1 | 18719.8 | 18719.8 | 18719.8 | 18719.8 | 18719.8 
InterfModel=0 87 | 18719.1 | 18719.8 | 18719.8 | 18719.8 | 18719.8 | 18719.8 
InterfModel=0 88 | 18719.1 | 18719.8 | 18719.8 | 18719.8 | 18719.8 | 18719.8 
InterfModel=0 89 | 18719.1 | 18719.8 | 18719.8 | 18719.8 | 18719.8 | 18719.8 
InterfModel=0 90 | 18719.1 | 18719.8 | 18719.8 | 18719.8 | 18719.8 | 18719.8 
InterfModel=0 91 | 18719.1 | 18719.8 | 18719.8 | 18719.8 | 18719.8 | 18719.8 
InterfModel=0 92 | 18719.1 | 18719.8 | 18719.8 | 18719.8 | 18719.8 | 18719.8 
InterfModel=0 93 | 18719.1 | 18719.8 | 18719.8 | 18719.8 | 18719.8 | 18719.8 
InterfModel=0 94 | 18719.1 | 18719.8 | 18719.8 | 18719.8 | 18719.8 | 18719.8 
InterfModel=0 95 | 18719.1 | 18719.8 | 18719.8 | 18719.8 | 18719.8 | 18719.8 
InterfModel=0 96 | 18719.1 | 18719.8 | 18719.8 | 18719.8 | 18719.8 | 18719.8 
InterfModel=0 97 | 18719.1 | 18719.8 | 18719.8 | 18719.8 | 18719.8 | 18719.8 
InterfModel=0 98 | 18719.1 | 18719.8 | 18719.8 | 18719.8 | 18719.8 | 18719.8 
InterfModel=0 99 | 18719.1 | 18719.8 | 18719.8 | 18719.8 | 18719.8 | 18719.8 
InterfModel=1 0 | 18719.1 | 18719.8 | 18719.8 | 18719.8 | 18719.8 | 18719.8 
InterfModel=1 1 | 18719.1 | 18719.8 | 18719.8 | 18719.8 | 18719.8 | 18719.8 
InterfModel=1 2 | 18719.1 | 18719.8 | 18719.8 | 18719.8 | 18719.8 | 18719.8 
InterfModel=1 3 | 18719.1 | 18719.8 | 18719.8 | 18719.8 | 18719.8 | 18719.8 
InterfModel=1 4 | 18719.1 | 18719.8 | 18719.8 | 18719.8 | 18719.8 | 18719.8 
InterfModel=1 5 | 18719.1 | 18719.8 | 18719.8 | 18719.8 | 18719.8 | 18719.8 
InterfModel=1 6 | 18719.1 | 18719.8 | 18719.8 | 18719.8 | 18719.8 | 18719.8 
InterfModel=1 7 | 18719.1 | 18719.8 | 18719.8 | 18719.8 | 18719.8 | 18719.8 
InterfModel=1 8 | 18719.1 | 18719.8 | 18719.8 | 18719.8 | 18719.8 | 18719.8 
InterfModel=1 9 | 18719.1 | 18719.8 | 18719.8 | 18719.8 | 18719.8 | 18719.8 
InterfModel=1 10 | 18719.1 | 18719.8 | 18719.8 | 18719.8 | 18719.8 | 18719.8 
InterfModel=1 11 | 18719.1 | 18719.8 | 18719.8 | 18719.8 | 18719.8 | 18719.8 
InterfModel=1 12 | 18719.1 | 18719.8 | 18719.8 | 18719.8 | 18719.8 | 18719.8 
InterfModel=1 13 | 18719.1 | 18719.8 | 18719.8 | 18719.8 | 18719.8 | 18719.8 
InterfModel=1 14 | 18719.1 | 18719.8 | 18719.8 | 18719.8 | 18719.8 | 18719.8 
InterfModel=1 15 | 18719.1 | 18719.8 | 18719.8 | 18719.8 | 18719.8 | 18719.8 
InterfModel=1 16 | 18719.1 | 18719.8 | 18719.8 | 18719.8 | 18719.8 | 18719.8 
InterfModel=1 17 | 18719.1 | 18719.8 | 18719.8 | 18719.8 | 18719.8 | 18719.8 
InterfModel=1 18 | 18719.1 | 18719.8 | 18719.8 | 18719.8 | 18719.8 | 18719.8 
InterfModel=1 19 | 18719.1 | 18719.8 | 18719.8 | 18719.8 | 18719.8 | 18719.8 
InterfModel=1 20 | 18719.1 | 18719.8 | 18719.8 | 18719.8 | 18719.8 | 18719.8 
InterfModel=1 21 | 18719.1 | 18719.8 | 18719.8 | 18719.8 | 18719.8 | 18719.8 
InterfModel=1 22 | 18719.1 | 18719.8 | 18719.8 | 18719.8 | 18719.8 | 18719.8 
