CastaliaResults -i saida.txt -s Packets reception rate -n --all -o2                                                                    

Application:Packets reception rate - total
 | index=1 | index=2 | index=3 | index=4 | index=5
InterfModel=0 | 0.932 | 0.979 | 0.918 | 0.726 | 0.683 
InterfModel=1 | 0.854 | 0.896 | 0.713 | 0.489 | 0.392 
InterfModel=2 | 0.894 | 0.982 | 0.844 | 0.644 | 0.542 
Application:Packets reception rate - all values
 | index=1 | index=2 | index=3 | index=4 | index=5
InterfModel=0 0 | 0.935312 | 0.977659 | 0.910647 | 0.722896 | 0.685425 
InterfModel=0 1 | 0.928976 | 0.979993 | 0.917315 | 0.711562 | 0.687292 
InterfModel=0 2 | 0.926976 | 0.976325 | 0.921316 | 0.731067 | 0.686892 
InterfModel=0 3 | 0.93998 | 0.975992 | 0.920649 | 0.726897 | 0.685958 
InterfModel=0 4 | 0.935312 | 0.982661 | 0.917759 | 0.71099 | 0.693385 
InterfModel=0 5 | 0.935645 | 0.976992 | 0.92265 | 0.751033 | 0.664844 
InterfModel=0 6 | 0.944648 | 0.982661 | 0.916648 | 0.729964 | 0.681424 
InterfModel=0 7 | 0.933645 | 0.976659 | 0.918426 | 0.705427 | 0.712228 
InterfModel=0 8 | 0.926309 | 0.977326 | 0.916426 | 0.725697 | 0.692092 
InterfModel=0 9 | 0.937646 | 0.97099 | 0.919315 | 0.737165 | 0.67689 
InterfModel=0 10 | 0.941981 | 0.982667 | 0.917315 | 0.723393 | 0.676357 
InterfModel=0 11 | 0.934311 | 0.972991 | 0.915759 | 0.72343 | 0.676357 
InterfModel=0 12 | 0.930977 | 0.976992 | 0.927317 | 0.738232 | 0.680757 
InterfModel=0 13 | 0.937646 | 0.97866 | 0.930651 | 0.736365 | 0.660176 
InterfModel=0 14 | 0.925975 | 0.97966 | 0.911314 | 0.720229 | 0.692092 
InterfModel=0 15 | 0.937667 | 0.979326 | 0.919538 | 0.728897 | 0.656621 
InterfModel=0 16 | 0.932311 | 0.977659 | 0.918426 | 0.708189 | 0.681024 
InterfModel=0 17 | 0.930977 | 0.975992 | 0.909313 | 0.708189 | 0.69676 
InterfModel=0 18 | 0.939313 | 0.970657 | 0.914406 | 0.72503 | 0.684091 
InterfModel=0 19 | 0.932333 | 0.979326 | 0.91976 | 0.742766 | 0.684625 
InterfModel=0 20 | 0.933311 | 0.976659 | 0.925761 | 0.712723 | 0.673156 
InterfModel=0 21 | 0.932978 | 0.980327 | 0.908 | 0.717925 | 0.685116 
InterfModel=0 22 | 0.932978 | 0.978 | 0.927095 | 0.7432 | 0.656575 
InterfModel=0 23 | 0.92931 | 0.977326 | 0.918204 | 0.735165 | 0.664977 
InterfModel=0 24 | 0.928643 | 0.982327 | 0.932652 | 0.720629 | 0.685291 
InterfModel=0 25 | 0.927643 | 0.981327 | 0.927984 | 0.740499 | 0.67729 
InterfModel=0 26 | 0.931644 | 0.978993 | 0.918204 | 0.725163 | 0.669689 
InterfModel=0 27 | 0.921641 | 0.978667 | 0.926873 | 0.725297 | 0.683825 
InterfModel=0 28 | 0.932333 | 0.979326 | 0.917759 | 0.715658 | 0.693426 
InterfModel=0 29 | 0.929643 | 0.982994 | 0.918649 | 0.718896 | 0.690892 
InterfModel=0 30 | 0.931977 | 0.979993 | 0.905757 | 0.7364 | 0.685425 
InterfModel=0 31 | 0.928643 | 0.977659 | 0.903979 | 0.716362 | 0.670223 
InterfModel=0 32 | 0.933311 | 0.980994 | 0.919093 | 0.745399 | 0.672623 
