CastaliaResults -i saida.txt -s Packets loss rate -n --all -o2                                                               

Application:Packets loss rate - total
 | index=1 | index=2 | index=3 | index=4 | index=5
InterfModel=0 | 0.051 | 0.018 | 0.062 | 0.251 | 0.294 
InterfModel=1 | 0.111 | 0.081 | 0.203 | 0.464 | 0.552 
InterfModel=2 | 0.08 | 0.016 | 0.106 | 0.331 | 0.419 
Application:Packets loss rate - all values
 | index=1 | index=2 | index=3 | index=4 | index=5
InterfModel=0 0 | 0.0580193 | 0.018006 | 0.0613469 | 0.241766 | 0.293906 
InterfModel=0 1 | 0.0543514 | 0.0136712 | 0.0629029 | 0.242432 | 0.29884 
InterfModel=0 2 | 0.0476826 | 0.0206736 | 0.0675706 | 0.263867 | 0.295239 
InterfModel=0 3 | 0.045015 | 0.0203401 | 0.0635697 | 0.263902 | 0.281904 
InterfModel=0 4 | 0.0463488 | 0.0176725 | 0.0580129 | 0.283409 | 0.272739 
InterfModel=0 5 | 0.0490164 | 0.0183395 | 0.0637919 | 0.254167 | 0.290211 
InterfModel=0 6 | 0.0476826 | 0.0173391 | 0.0700155 | 0.248833 | 0.288972 
InterfModel=0 7 | 0.0473491 | 0.0156719 | 0.0560125 | 0.255101 | 0.286305 
InterfModel=0 8 | 0.0483494 | 0.0110037 | 0.0622361 | 0.251634 | 0.30044 
InterfModel=0 9 | 0.0493498 | 0.0220073 | 0.0749055 | 0.254167 | 0.269369 
InterfModel=0 10 | 0.0576859 | 0.0196667 | 0.0722383 | 0.2498 | 0.286705 
InterfModel=0 11 | 0.0523508 | 0.0193398 | 0.0606802 | 0.260168 | 0.287772 
InterfModel=0 12 | 0.0493498 | 0.0186729 | 0.0566792 | 0.270303 | 0.279771 
InterfModel=0 13 | 0.0476826 | 0.0186729 | 0.0715715 | 0.241099 | 0.291945 
InterfModel=0 14 | 0.0573524 | 0.0166723 | 0.0649033 | 0.259501 | 0.267902 
InterfModel=0 15 | 0.0513333 | 0.0160053 | 0.0655701 | 0.236965 | 0.313242 
InterfModel=0 16 | 0.0563521 | 0.0233411 | 0.0569015 | 0.256602 | 0.282038 
InterfModel=0 17 | 0.0443481 | 0.0176725 | 0.0637919 | 0.250734 | 0.305507 
InterfModel=0 18 | 0.0533511 | 0.0186729 | 0.0522454 | 0.257368 | 0.30364 
InterfModel=0 19 | 0.043 | 0.0226742 | 0.0577906 | 0.2475 | 0.30004 
InterfModel=0 20 | 0.0483494 | 0.0156719 | 0.0580129 | 0.2482 | 0.299107 
InterfModel=0 21 | 0.0440147 | 0.0156719 | 0.0597778 | 0.248466 | 0.290477 
InterfModel=0 22 | 0.0550184 | 0.0183333 | 0.0640142 | 0.244667 | 0.293812 
InterfModel=0 23 | 0.054018 | 0.0200067 | 0.049122 | 0.243632 | 0.296079 
InterfModel=0 24 | 0.0453485 | 0.0130044 | 0.058902 | 0.255101 | 0.27177 
InterfModel=0 25 | 0.045015 | 0.0143381 | 0.0622361 | 0.259768 | 0.288438 
InterfModel=0 26 | 0.051017 | 0.0183395 | 0.0629029 | 0.239499 | 0.299107 
InterfModel=0 27 | 0.0496832 | 0.0196667 | 0.0566792 | 0.262702 | 0.260835 
InterfModel=0 28 | 0.0483333 | 0.0200067 | 0.069571 | 0.253401 | 0.294039 
InterfModel=0 29 | 0.0533511 | 0.015005 | 0.0557902 | 0.261902 | 0.282704 
InterfModel=0 30 | 0.0566856 | 0.0153384 | 0.0673483 | 0.250667 | 0.295373 
InterfModel=0 31 | 0.0513505 | 0.0146716 | 0.0724605 | 0.258701 | 0.282704 
InterfModel=0 32 | 0.0490164 | 0.0230077 | 0.0609024 | 0.247799 | 0.316842 
InterfModel=0 33 | 0.0496832 | 0.0110037 | 0.0622361 | 0.259235 | 0.304974 
InterfModel=0 34 | 0.0596865 | 0.0146716 | 0.0689042 | 0.239365 | 0.291506 
InterfModel=0 35 | 0.0536845 | 0.0163388 | 0.0664592 | 0.241365 | 0.320576 
InterfModel=0 36 | 0.059 | 0.0176725 | 0.0597911 | 0.257101 | 0.307149 
InterfModel=0 37 | 0.0513505 | 0.0183395 | 0.0640142 | 0.256834 | 0.27137 
InterfModel=0 38 | 0.0536845 | 0.0166723 | 0.0604579 | 0.242 | 0.27857 
InterfModel=0 39 | 0.0506836 | 0.0226742 | 0.0673483 | 0.254701 | 0.294039 
InterfModel=0 40 | 0.0516839 | 0.0170057 | 0.0611247 | 0.2608 | 0.290744 
InterfModel=0 41 | 0.0500167 | 0.0166723 | 0.0629029 | 0.255234 | 0.311016 
InterfModel=0 42 | 0.057019 | 0.0193398 | 0.0633474 | 0.264702 | 0.283104 
InterfModel=0 43 | 0.0466822 | 0.0186667 | 0.0553457 | 0.250133 | 0.306441 
InterfModel=0 44 | 0.0503501 | 0.0176725 | 0.0635555 | 0.253401 | 0.291906 
InterfModel=0 45 | 0.0456819 | 0.0176725 | 0.0606802 | 0.266169 | 0.283904 
InterfModel=0 46 | 0.0483494 | 0.0163388 | 0.0586797 | 0.225363 | 0.320576 
InterfModel=0 47 | 0.051017 | 0.018006 | 0.0593465 | 0.264569 | 0.282171 
InterfModel=0 48 | 0.0473491 | 0.016 | 0.058902 | 0.233929 | 0.298346 
InterfModel=0 49 | 0.0513505 | 0.0166723 | 0.0542343 | 0.254701 | 0.282438 
InterfModel=0 50 | 0.0430143 | 0.0193398 | 0.0626806 | 0.263003 | 0.282209 
InterfModel=0 51 | 0.0436812 | 0.0193398 | 0.0662369 | 0.246999 | 0.276207 
InterfModel=0 52 | 0.0520173 | 0.0156719 | 0.064 | 0.2491 | 0.299773 
InterfModel=0 53 | 0.0496666 | 0.021007 | 0.058902 | 0.2499 | 0.307774 
InterfModel=0 54 | 0.0610203 | 0.0173391 | 0.0631251 | 0.260968 | 0.260701 
InterfModel=0 55 | 0.0463488 | 0.015005 | 0.0500111 | 0.271503 | 0.297506 
InterfModel=0 56 | 0.0573524 | 0.0216739 | 0.0651256 | 0.263635 | 0.288533 
InterfModel=0 57 | 0.0500167 | 0.0160053 | 0.0697933 | 0.240699 | 0.290972 
InterfModel=0 58 | 0.0560187 | 0.0200067 | 0.0628889 | 0.254567 | 0.292572 
InterfModel=0 59 | 0.0556852 | 0.018006 | 0.0640142 | 0.250433 | 0.31155 
InterfModel=0 60 | 0.0496832 | 0.0223408 | 0.0615692 | 0.247366 | 0.283104 
InterfModel=0 61 | 0.0506836 | 0.0196732 | 0.0613469 | 0.250567 | 0.281808 
InterfModel=0 62 | 0.0526842 | 0.015005 | 0.0689042 | 0.263635 | 0.283904 
InterfModel=0 63 | 0.057 | 0.0183395 | 0.066 | 0.250433 | 0.292039 
InterfModel=0 64 | 0.0603535 | 0.0206736 | 0.0633474 | 0.265102 | 0.274437 
InterfModel=0 65 | 0.0440147 | 0.0183395 | 0.069571 | 0.242533 | 0.313242 
InterfModel=0 66 | 0.0470157 | 0.0176725 | 0.0582222 | 0.235631 | 0.312975 
InterfModel=0 67 | 0.0433478 | 0.0170057 | 0.0704601 | 0.255767 | 0.29644 
InterfModel=0 68 | 0.0453485 | 0.0163388 | 0.0560125 | 0.235498 | 0.314217 
InterfModel=0 69 | 0.0536845 | 0.0160053 | 0.0709047 | 0.242566 | 0.293639 
InterfModel=0 70 | 0.0490164 | 0.0196732 | 0.0675706 | 0.240864 | 0.304441 
InterfModel=0 71 | 0.0383461 | 0.0160053 | 0.0575684 | 0.268169 | 0.309108 
InterfModel=0 72 | 0.0550184 | 0.021007 | 0.056457 | 0.264267 | 0.286305 
InterfModel=0 73 | 0.054018 | 0.0213404 | 0.0649033 | 0.257867 | 0.318752 
InterfModel=0 74 | 0.057019 | 0.0223408 | 0.056457 | 0.2483 | 0.307149 
InterfModel=0 75 | 0.0470157 | 0.0183333 | 0.0582352 | 0.2491 | 0.302307 
InterfModel=0 76 | 0.0523508 | 0.0173391 | 0.0535675 | 0.241499 | 0.306307 
InterfModel=0 77 | 0.0593531 | 0.014 | 0.0549011 | 0.221496 | 0.303467 
InterfModel=0 78 | 0.0580193 | 0.0170057 | 0.0555556 | 0.260035 | 0.3064 
InterfModel=0 79 | 0.051017 | 0.0156719 | 0.0595688 | 0.259635 | 0.296573 
InterfModel=0 80 | 0.0426809 | 0.0143381 | 0.0633474 | 0.241365 | 0.303507 
InterfModel=0 81 | 0.0483494 | 0.0176725 | 0.0626806 | 0.237498 | 0.299373 
InterfModel=0 82 | 0.0423333 | 0.0206736 | 0.0649033 | 0.248066 | 0.288572 
InterfModel=0 83 | 0.0550184 | 0.0196732 | 0.058902 | 0.254201 | 0.294173 
InterfModel=0 84 | 0.0533333 | 0.015005 | 0.0611247 | 0.241899 | 0.294973 
InterfModel=0 85 | 0.0476826 | 0.019 | 0.0697933 | 0.254301 | 0.28661 
InterfModel=0 86 | 0.0453485 | 0.0170057 | 0.0577906 | 0.256 | 0.286838 
InterfModel=0 87 | 0.0506836 | 0.019 | 0.0626806 | 0.230461 | 0.304574 
InterfModel=0 88 | 0.0440147 | 0.0183395 | 0.0644588 | 0.260701 | 0.290744 
InterfModel=0 89 | 0.0516839 | 0.0153384 | 0.0577778 | 0.237467 | 0.295333 
InterfModel=0 90 | 0.054018 | 0.0183395 | 0.0609024 | 0.245366 | 0.290572 
InterfModel=0 91 | 0.0536845 | 0.0220073 | 0.0580129 | 0.252201 | 0.296306 
InterfModel=0 92 | 0.048016 | 0.0143333 | 0.0566792 | 0.248433 | 0.300173 
InterfModel=0 93 | 0.0473491 | 0.0206736 | 0.0571238 | 0.272873 | 0.295773 
InterfModel=0 94 | 0.0516839 | 0.0170057 | 0.0606802 | 0.241499 | 0.287905 
InterfModel=0 95 | 0.0546849 | 0.0183395 | 0.058902 | 0.238832 | 0.29884 
InterfModel=0 96 | 0.0503333 | 0.0160053 | 0.0611247 | 0.248833 | 0.292439 
InterfModel=0 97 | 0.0573524 | 0.0193398 | 0.0569015 | 0.251234 | 0.292039 
InterfModel=0 98 | 0.0526667 | 0.02 | 0.0737942 | 0.234996 | 0.299146 
InterfModel=0 99 | 0.0490164 | 0.0140046 | 0.0684596 | 0.2491 | 0.287943 
InterfModel=1 0 | 0.0980327 | 0.0816939 | 0.171371 | 0.459128 | 0.570152 
InterfModel=1 1 | 0.117372 | 0.0826942 | 0.198266 | 0.459528 | 0.564017 
