CastaliaResults -i saida.txt -s Estimated network lifetime --all -o2                                                                     

ResourceManager:Estimated network lifetime (days)
 | InterfModel=0 | InterfModel=1 | InterfModel=2
 | 69.938 | 69.931 | 69.935 
ResourceManager:Estimated network lifetime (days) - all values
 | InterfModel=0 | InterfModel=1 | InterfModel=2
 0 | 69.9385 | 69.9272 | 69.9316 
 1 | 69.9381 | 69.9274 | 69.9369 
 2 | 69.942 | 69.9355 | 69.9374 
 3 | 69.9404 | 69.9274 | 69.9397 
 4 | 69.9334 | 69.9305 | 69.9403 
 5 | 69.9362 | 69.932 | 69.9376 
 6 | 69.9354 | 69.9342 | 69.9317 
 7 | 69.9381 | 69.9308 | 69.9327 
 8 | 69.9344 | 69.9334 | 69.9374 
 9 | 69.939 | 69.932 | 69.9347 
 10 | 69.942 | 69.9294 | 69.9366 
 11 | 69.9332 | 69.9342 | 69.9343 
 12 | 69.9397 | 69.9368 | 69.936 
 13 | 69.9379 | 69.9275 | 69.9306 
 14 | 69.9414 | 69.9258 | 69.9329 
 15 | 69.9393 | 69.9374 | 69.9371 
 16 | 69.9431 | 69.9356 | 69.9324 
 17 | 69.9407 | 69.9294 | 69.937 
 18 | 69.9336 | 69.9298 | 69.9324 
 19 | 69.9352 | 69.9308 | 69.9388 
 20 | 69.9415 | 69.9276 | 69.94 
 21 | 69.9327 | 69.937 | 69.9385 
 22 | 69.9425 | 69.9277 | 69.9369 
 23 | 69.9327 | 69.9267 | 69.9394 
 24 | 69.9342 | 69.9361 | 69.9303 
 25 | 69.9344 | 69.9259 | 69.9309 
 26 | 69.9403 | 69.9297 | 69.9337 
 27 | 69.9372 | 69.927 | 69.933 
 28 | 69.9372 | 69.929 | 69.9399 
 29 | 69.9369 | 69.9323 | 69.9329 
 30 | 69.9385 | 69.9348 | 69.9319 
 31 | 69.9358 | 69.9287 | 69.9322 
 32 | 69.9346 | 69.9262 | 69.9358 
 33 | 69.9333 | 69.9301 | 69.9362 
 34 | 69.9332 | 69.9293 | 69.9308 
 35 | 69.9361 | 69.9346 | 69.9302 
 36 | 69.9364 | 69.9351 | 69.9314 
 37 | 69.9426 | 69.9277 | 69.9337 
 38 | 69.9401 | 69.9311 | 69.9318 
 39 | 69.9424 | 69.9356 | 69.9397 
 40 | 69.9403 | 69.9321 | 69.9337 
 41 | 69.9399 | 69.9347 | 69.9376 
 42 | 69.9421 | 69.9345 | 69.9411 
 43 | 69.94 | 69.9293 | 69.94 
 44 | 69.9361 | 69.9363 | 69.9322 
 45 | 69.9345 | 69.9328 | 69.937 
 46 | 69.9407 | 69.9295 | 69.9317 
 47 | 69.9371 | 69.9323 | 69.9401 
 48 | 69.94 | 69.9301 | 69.9329 
 49 | 69.9329 | 69.9305 | 69.9406 
 50 | 69.9423 | 69.9276 | 69.9399 
 51 | 69.9357 | 69.9323 | 69.9342 
 52 | 69.9396 | 69.926 | 69.9308 
 53 | 69.9342 | 69.9365 | 69.9404 
 54 | 69.9402 | 69.9362 | 69.9346 
 55 | 69.9402 | 69.9352 | 69.9352 
 56 | 69.9342 | 69.93 | 69.9409 
 57 | 69.9328 | 69.9364 | 69.9306 
 58 | 69.934 | 69.9306 | 69.934 
 59 | 69.9371 | 69.9352 | 69.9374 
 60 | 69.9381 | 69.9287 | 69.9335 
 61 | 69.9352 | 69.9312 | 69.9314 
 62 | 69.9387 | 69.9356 | 69.9344 
 63 | 69.9411 | 69.9316 | 69.939 
 64 | 69.9346 | 69.9299 | 69.9355 
 65 | 69.9338 | 69.9261 | 69.9407 
 66 | 69.9326 | 69.9298 | 69.9361 
 67 | 69.9388 | 69.927 | 69.9345 
 68 | 69.9359 | 69.9316 | 69.9358 
 69 | 69.94 | 69.9258 | 69.9327 
 70 | 69.9426 | 69.9257 | 69.9307 
 71 | 69.9372 | 69.9295 | 69.94 
 72 | 69.942 | 69.9341 | 69.933 
 73 | 69.934 | 69.9307 | 69.931 
 74 | 69.9382 | 69.9276 | 69.9337 
 75 | 69.9386 | 69.9351 | 69.9326 
 76 | 69.9401 | 69.9366 | 69.9351 
 77 | 69.9439 | 69.9278 | 69.933 
 78 | 69.9407 | 69.9283 | 69.9323 
 79 | 69.9351 | 69.9287 | 69.9395 
 80 | 69.9334 | 69.9277 | 69.9306 
 81 | 69.9431 | 69.9305 | 69.9309 
 82 | 69.9333 | 69.9278 | 69.9322 
 83 | 69.9412 | 69.936 | 69.9405 
 84 | 69.9395 | 69.9344 | 69.9375 
 85 | 69.9408 | 69.9364 | 69.9345 
 86 | 69.9325 | 69.9272 | 69.9345 
 87 | 69.9415 | 69.9277 | 69.9305 
 88 | 69.9395 | 69.9339 | 69.9381 
 89 | 69.9338 | 69.9324 | 69.9379 
 90 | 69.9349 | 69.9319 | 69.9379 
 91 | 69.9326 | 69.9309 | 69.9388 
 92 | 69.9394 | 69.9307 | 69.9365 
 93 | 69.9362 | 69.9367 | 69.9302 
 94 | 69.9388 | 69.9268 | 69.9407 
 95 | 69.9386 | 69.9357 | 69.9363 
 96 | 69.9362 | 69.9287 | 69.9404 
 97 | 69.9344 | 69.9354 | 69.9394 
 98 | 69.9359 | 69.9275 | 69.9374 
 99 | 69.9337 | 69.9269 | 69.9331 

