CastaliaResults -i saida.txt -s Packets loss rate -n --all -o2                                                               

Application:Packets loss rate - total
 | index=1 | index=2 | index=3 | index=4 | index=5
InterfModel=0 | 0.039 | 0.016 | 0.046 | 0.232 | 0.271 
InterfModel=1 | 0.085 | 0.064 | 0.137 | 0.428 | 0.502 
InterfModel=2 | 0.061 | 0.014 | 0.075 | 0.309 | 0.388 
Application:Packets loss rate - all values
 | index=1 | index=2 | index=3 | index=4 | index=5
InterfModel=0 0 | 0.0343448 | 0.0156719 | 0.0451211 | 0.22603 | 0.270036 
InterfModel=0 1 | 0.0403468 | 0.0163388 | 0.0462325 | 0.219763 | 0.278837 
InterfModel=0 2 | 0.0353451 | 0.0160053 | 0.0411202 | 0.24 | 0.280437 
InterfModel=0 3 | 0.0363454 | 0.0163388 | 0.0517893 | 0.229631 | 0.278971 
InterfModel=0 4 | 0.0350116 | 0.0186729 | 0.0488998 | 0.220325 | 0.279274 
InterfModel=0 5 | 0.0470157 | 0.0160053 | 0.0484552 | 0.242166 | 0.268605 
InterfModel=0 6 | 0.0436812 | 0.018006 | 0.0468993 | 0.249367 | 0.2572 
InterfModel=0 7 | 0.0423474 | 0.0126709 | 0.0460102 | 0.235765 | 0.268969 
InterfModel=0 8 | 0.0373458 | 0.0190063 | 0.0473439 | 0.220029 | 0.278304 
InterfModel=0 9 | 0.039013 | 0.015005 | 0.0377862 | 0.220563 | 0.290305 
InterfModel=0 10 | 0.0410137 | 0.0203333 | 0.0482329 | 0.219525 | 0.273236 
InterfModel=0 11 | 0.0393465 | 0.0146716 | 0.0513448 | 0.2471 | 0.265235 
InterfModel=0 12 | 0.0406802 | 0.0170057 | 0.0442321 | 0.232564 | 0.265769 
InterfModel=0 13 | 0.0406802 | 0.0156719 | 0.0428984 | 0.231498 | 0.263003 
InterfModel=0 14 | 0.0353451 | 0.0200067 | 0.0413425 | 0.249233 | 0.255367 
InterfModel=0 15 | 0.0413333 | 0.0193398 | 0.0451211 | 0.227364 | 0.250567 
InterfModel=0 16 | 0.0366789 | 0.0140046 | 0.0448989 | 0.224593 | 0.282438 
InterfModel=0 17 | 0.039013 | 0.0160053 | 0.040898 | 0.237263 | 0.27497 
InterfModel=0 18 | 0.0410137 | 0.0163388 | 0.0495776 | 0.241099 | 0.248433 
InterfModel=0 19 | 0.036 | 0.0156719 | 0.0426762 | 0.233498 | 0.238565 
InterfModel=0 20 | 0.0436812 | 0.0140046 | 0.0433429 | 0.234196 | 0.277104 
InterfModel=0 21 | 0.0416806 | 0.0140046 | 0.0444444 | 0.218992 | 0.267405 
InterfModel=0 22 | 0.0456819 | 0.018 | 0.051567 | 0.243867 | 0.260069 
InterfModel=0 23 | 0.0440147 | 0.012004 | 0.0395644 | 0.223096 | 0.272073 
InterfModel=0 24 | 0.0386795 | 0.0130044 | 0.0420094 | 0.224697 | 0.27457 
InterfModel=0 25 | 0.0403468 | 0.0170057 | 0.0448989 | 0.233631 | 0.271236 
InterfModel=0 26 | 0.0353451 | 0.018006 | 0.0531229 | 0.235765 | 0.274303 
InterfModel=0 27 | 0.0410137 | 0.017 | 0.0464548 | 0.235498 | 0.274837 
InterfModel=0 28 | 0.0353333 | 0.0153384 | 0.0471216 | 0.247933 | 0.270436 
InterfModel=0 29 | 0.0353451 | 0.0126709 | 0.0480106 | 0.221096 | 0.282971 
InterfModel=0 30 | 0.0380127 | 0.0176725 | 0.0451211 | 0.213067 | 0.278704 
InterfModel=0 31 | 0.0373458 | 0.0160053 | 0.0437875 | 0.232564 | 0.270703 
InterfModel=0 32 | 0.042014 | 0.0146716 | 0.0417871 | 0.221659 | 0.297373 
InterfModel=0 33 | 0.0376793 | 0.0166723 | 0.0391198 | 0.244699 | 0.259635 
InterfModel=0 34 | 0.036012 | 0.0140046 | 0.0582352 | 0.240165 | 0.271903 
InterfModel=0 35 | 0.0386795 | 0.0143381 | 0.0502334 | 0.219629 | 0.274037 
InterfModel=0 36 | 0.043 | 0.0200067 | 0.0451211 | 0.237898 | 0.262603 
InterfModel=0 37 | 0.0356786 | 0.0156719 | 0.0477884 | 0.242699 | 0.245099 
InterfModel=0 38 | 0.0400133 | 0.0133378 | 0.0488998 | 0.234 | 0.269236 
InterfModel=0 39 | 0.0483494 | 0.0126709 | 0.0513448 | 0.214962 | 0.292972 
InterfModel=0 40 | 0.0363454 | 0.0163388 | 0.0428984 | 0.213733 | 0.279274 
InterfModel=0 41 | 0.0366789 | 0.0160053 | 0.0440098 | 0.233098 | 0.274473 
InterfModel=0 42 | 0.0426809 | 0.0173391 | 0.0446766 | 0.245633 | 0.255234 
InterfModel=0 43 | 0.0306769 | 0.0136667 | 0.0426762 | 0.215467 | 0.29724 
InterfModel=0 44 | 0.0400133 | 0.0190063 | 0.0433334 | 0.231262 | 0.280037 
InterfModel=0 45 | 0.0340114 | 0.018006 | 0.0468993 | 0.245766 | 0.254301 
InterfModel=0 46 | 0.0410137 | 0.0193398 | 0.0437875 | 0.244833 | 0.266969 
InterfModel=0 47 | 0.0430143 | 0.0116705 | 0.0426762 | 0.246833 | 0.270969 
InterfModel=0 48 | 0.0410137 | 0.0186667 | 0.0448989 | 0.23673 | 0.266871 
InterfModel=0 49 | 0.0356786 | 0.0140046 | 0.0471216 | 0.243899 | 0.270969 
InterfModel=0 50 | 0.0396799 | 0.0186729 | 0.0504556 | 0.22446 | 0.286876 
InterfModel=0 51 | 0.03001 | 0.0156719 | 0.0422316 | 0.244198 | 0.256602 
InterfModel=0 52 | 0.0333444 | 0.015005 | 0.0557778 | 0.240699 | 0.254967 
InterfModel=0 53 | 0.033 | 0.0196732 | 0.0533452 | 0.227364 | 0.272703 
InterfModel=0 54 | 0.042014 | 0.0153384 | 0.0488998 | 0.22483 | 0.280304 
InterfModel=0 55 | 0.0400133 | 0.0126709 | 0.0482329 | 0.236031 | 0.278704 
InterfModel=0 56 | 0.036012 | 0.0166723 | 0.0520115 | 0.265902 | 0.255467 
InterfModel=0 57 | 0.042014 | 0.0153384 | 0.0448989 | 0.223763 | 0.27257 
InterfModel=0 58 | 0.0350116 | 0.0143381 | 0.0482222 | 0.240699 | 0.262968 
InterfModel=0 59 | 0.0400133 | 0.0146716 | 0.049122 | 0.208961 | 0.280341 
InterfModel=0 60 | 0.0400133 | 0.0140046 | 0.0457879 | 0.224297 | 0.271503 
InterfModel=0 61 | 0.0463488 | 0.0156719 | 0.0526783 | 0.230964 | 0.272606 
InterfModel=0 62 | 0.0366789 | 0.0143381 | 0.0513448 | 0.240832 | 0.274303 
InterfModel=0 63 | 0.0393333 | 0.0156719 | 0.0428889 | 0.236031 | 0.283104 
InterfModel=0 64 | 0.0430143 | 0.0200067 | 0.0386752 | 0.225897 | 0.273103 
InterfModel=0 65 | 0.0356786 | 0.0170057 | 0.0457879 | 0.234667 | 0.261502 
InterfModel=0 66 | 0.0350116 | 0.0170057 | 0.0413333 | 0.229231 | 0.270169 
InterfModel=0 67 | 0.039013 | 0.0156719 | 0.0420094 | 0.260035 | 0.2515 
InterfModel=0 68 | 0.0403468 | 0.0126709 | 0.0451211 | 0.228831 | 0.279008 
InterfModel=0 69 | 0.0456819 | 0.0153384 | 0.0428984 | 0.235231 | 0.266702 
InterfModel=0 70 | 0.0393465 | 0.0183395 | 0.0388975 | 0.228861 | 0.263102 
InterfModel=0 71 | 0.0346782 | 0.0106702 | 0.0424539 | 0.22563 | 0.279237 
InterfModel=0 72 | 0.036012 | 0.0166723 | 0.0497888 | 0.223467 | 0.278971 
InterfModel=0 73 | 0.0426809 | 0.0143381 | 0.0502334 | 0.2184 | 0.286476 
InterfModel=0 74 | 0.0393465 | 0.0123374 | 0.0395644 | 0.228964 | 0.256335 
InterfModel=0 75 | 0.0433478 | 0.0156667 | 0.0471216 | 0.244966 | 0.242699 
InterfModel=0 76 | 0.0416806 | 0.0130044 | 0.0448989 | 0.22443 | 0.284705 
InterfModel=0 77 | 0.0396799 | 0.0146667 | 0.0417871 | 0.216429 | 0.261067 
InterfModel=0 78 | 0.0426809 | 0.0133378 | 0.046 | 0.220963 | 0.2784 
InterfModel=0 79 | 0.0306769 | 0.0103368 | 0.0509002 | 0.235365 | 0.282838 
InterfModel=0 80 | 0.0386795 | 0.0146716 | 0.0453434 | 0.216562 | 0.278971 
InterfModel=0 81 | 0.0333444 | 0.0143381 | 0.0457879 | 0.242432 | 0.254434 
InterfModel=0 82 | 0.0356666 | 0.0133378 | 0.0446766 | 0.211523 | 0.281904 
InterfModel=0 83 | 0.0440147 | 0.0166723 | 0.0480106 | 0.219792 | 0.284705 
InterfModel=0 84 | 0.0353333 | 0.0143381 | 0.0431207 | 0.238432 | 0.270969 
InterfModel=0 85 | 0.0396799 | 0.0166667 | 0.0431207 | 0.240832 | 0.27354 
InterfModel=0 86 | 0.0370123 | 0.0140046 | 0.0440098 | 0.2556 | 0.270169 
InterfModel=0 87 | 0.0306769 | 0.0186667 | 0.0480106 | 0.244065 | 0.268036 
InterfModel=0 88 | 0.0400133 | 0.0146716 | 0.0473439 | 0.237098 | 0.264604 
InterfModel=0 89 | 0.0346782 | 0.0110037 | 0.0417778 | 0.225733 | 0.274267 
InterfModel=0 90 | 0.0396799 | 0.0170057 | 0.0529007 | 0.220429 | 0.280304 
InterfModel=0 91 | 0.0406802 | 0.0153384 | 0.0411202 | 0.243665 | 0.253367 
InterfModel=0 92 | 0.0463488 | 0.0123333 | 0.0446766 | 0.226964 | 0.267636 
