CastaliaResults -i saida.txt -s Consumed Energy -n --all -o2                                                             

ResourceManager:Consumed Energy
 | node=0 | node=1 | node=2 | node=3 | node=4 | node=5
InterfModel=0 | 0.932 | 0.245 | 0.248 | 0.242 | 0.244 | 0.242 
InterfModel=1 | 0.933 | 0.244 | 0.248 | 0.242 | 0.245 | 0.242 
InterfModel=2 | 0.933 | 0.245 | 0.248 | 0.241 | 0.245 | 0.242 
ResourceManager:Consumed Energy - all values
 | node=0 | node=1 | node=2 | node=3 | node=4 | node=5
InterfModel=0 0 | 0.932495 | 0.245584 | 0.247865 | 0.240255 | 0.244432 | 0.240432 
InterfModel=0 1 | 0.932484 | 0.245119 | 0.248389 | 0.241327 | 0.245263 | 0.241811 
InterfModel=0 2 | 0.932454 | 0.244627 | 0.247545 | 0.240154 | 0.244452 | 0.240593 
InterfModel=0 3 | 0.932473 | 0.244498 | 0.247909 | 0.241694 | 0.243896 | 0.242814 
InterfModel=0 4 | 0.932548 | 0.24422 | 0.248193 | 0.241793 | 0.244166 | 0.242254 
InterfModel=0 5 | 0.932508 | 0.243855 | 0.248315 | 0.243632 | 0.245172 | 0.241715 
InterfModel=0 6 | 0.93252 | 0.245389 | 0.248359 | 0.242399 | 0.244932 | 0.240956 
InterfModel=0 7 | 0.932487 | 0.246165 | 0.248202 | 0.242441 | 0.244788 | 0.241881 
InterfModel=0 8 | 0.932534 | 0.244923 | 0.248316 | 0.242116 | 0.243523 | 0.241957 
InterfModel=0 9 | 0.932475 | 0.244287 | 0.248259 | 0.241125 | 0.243916 | 0.243064 
InterfModel=0 10 | 0.932434 | 0.243253 | 0.247827 | 0.240148 | 0.242585 | 0.240506 
InterfModel=0 11 | 0.932551 | 0.245151 | 0.248227 | 0.241407 | 0.244875 | 0.243389 
InterfModel=0 12 | 0.932463 | 0.244523 | 0.247926 | 0.241919 | 0.243888 | 0.241261 
InterfModel=0 13 | 0.932485 | 0.2462 | 0.248223 | 0.24163 | 0.24489 | 0.242659 
InterfModel=0 14 | 0.932441 | 0.244106 | 0.247715 | 0.241348 | 0.244912 | 0.242726 
InterfModel=0 15 | 0.932473 | 0.245606 | 0.247388 | 0.242425 | 0.24476 | 0.241113 
InterfModel=0 16 | 0.932415 | 0.244939 | 0.247753 | 0.241393 | 0.244998 | 0.241684 
InterfModel=0 17 | 0.932451 | 0.244443 | 0.247876 | 0.242506 | 0.244834 | 0.241299 
InterfModel=0 18 | 0.932546 | 0.245008 | 0.247523 | 0.240929 | 0.24479 | 0.241971 
InterfModel=0 19 | 0.93253 | 0.245244 | 0.24818 | 0.241704 | 0.245159 | 0.242211 
InterfModel=0 20 | 0.932437 | 0.244734 | 0.24747 | 0.242912 | 0.243979 | 0.241792 
InterfModel=0 21 | 0.932563 | 0.244469 | 0.248478 | 0.240002 | 0.243975 | 0.242309 
InterfModel=0 22 | 0.932442 | 0.243443 | 0.247612 | 0.241336 | 0.244719 | 0.243879 
InterfModel=0 23 | 0.932558 | 0.244793 | 0.248244 | 0.242773 | 0.244663 | 0.24366 
InterfModel=0 24 | 0.932537 | 0.244689 | 0.248073 | 0.241094 | 0.245228 | 0.24181 
InterfModel=0 25 | 0.932537 | 0.244312 | 0.248002 | 0.242079 | 0.24532 | 0.242274 
InterfModel=0 26 | 0.932452 | 0.243636 | 0.247898 | 0.239894 | 0.243885 | 0.242391 
InterfModel=0 27 | 0.932498 | 0.244825 | 0.247949 | 0.241462 | 0.244283 | 0.240259 
InterfModel=0 28 | 0.932499 | 0.244903 | 0.247168 | 0.242927 | 0.243492 | 0.241813 
InterfModel=0 29 | 0.932506 | 0.246309 | 0.247934 | 0.241681 | 0.244998 | 0.24305 
InterfModel=0 30 | 0.932481 | 0.243916 | 0.24805 | 0.240648 | 0.244506 | 0.241863 
InterfModel=0 31 | 0.932515 | 0.244813 | 0.248238 | 0.242253 | 0.244368 | 0.241976 
InterfModel=0 32 | 0.932533 | 0.245231 | 0.247881 | 0.240012 | 0.245232 | 0.242676 
InterfModel=0 33 | 0.932551 | 0.24388 | 0.248471 | 0.242153 | 0.244929 | 0.244343 
InterfModel=0 34 | 0.932545 | 0.245588 | 0.248221 | 0.241833 | 0.24533 | 0.243279 
InterfModel=0 35 | 0.932515 | 0.244103 | 0.24878 | 0.241713 | 0.244751 | 0.243412 
InterfModel=0 36 | 0.932507 | 0.245071 | 0.248405 | 0.24237 | 0.243936 | 0.242489 
InterfModel=0 37 | 0.932429 | 0.244856 | 0.247905 | 0.242253 | 0.245107 | 0.240944 
InterfModel=0 38 | 0.932457 | 0.243428 | 0.248216 | 0.240993 | 0.243943 | 0.242596 
InterfModel=0 39 | 0.932466 | 0.244867 | 0.247328 | 0.24135 | 0.244332 | 0.241102 
InterfModel=0 40 | 0.932461 | 0.244787 | 0.248188 | 0.24294 | 0.244663 | 0.242241 
InterfModel=0 41 | 0.932462 | 0.244095 | 0.248217 | 0.24221 | 0.244848 | 0.241589 
InterfModel=0 42 | 0.932453 | 0.245212 | 0.247888 | 0.239561 | 0.244206 | 0.243248 
InterfModel=0 43 | 0.932461 | 0.245488 | 0.247788 | 0.241501 | 0.244075 | 0.241704 
InterfModel=0 44 | 0.932508 | 0.244585 | 0.247575 | 0.244071 | 0.244341 | 0.242481 
InterfModel=0 45 | 0.932533 | 0.245338 | 0.247587 | 0.240873 | 0.244045 | 0.241986 
InterfModel=0 46 | 0.932447 | 0.2445 | 0.247595 | 0.241116 | 0.24416 | 0.241996 
InterfModel=0 47 | 0.932497 | 0.244458 | 0.247443 | 0.242199 | 0.245362 | 0.241806 
InterfModel=0 48 | 0.932455 | 0.243927 | 0.247963 | 0.241838 | 0.24484 | 0.242633 
InterfModel=0 49 | 0.932552 | 0.243765 | 0.24823 | 0.241842 | 0.245129 | 0.24185 
InterfModel=0 50 | 0.932429 | 0.244793 | 0.247366 | 0.240978 | 0.244368 | 0.24014 
InterfModel=0 51 | 0.932521 | 0.244616 | 0.248418 | 0.241948 | 0.244957 | 0.243243 
InterfModel=0 52 | 0.932466 | 0.245894 | 0.247548 | 0.24197 | 0.243539 | 0.241658 
InterfModel=0 53 | 0.93254 | 0.245047 | 0.248243 | 0.241379 | 0.244684 | 0.24141 
InterfModel=0 54 | 0.932455 | 0.244842 | 0.247711 | 0.241649 | 0.24438 | 0.242585 
InterfModel=0 55 | 0.932454 | 0.244492 | 0.247547 | 0.242031 | 0.24462 | 0.241297 
InterfModel=0 56 | 0.932532 | 0.243954 | 0.248054 | 0.240937 | 0.244976 | 0.240998 
InterfModel=0 57 | 0.932556 | 0.244577 | 0.248253 | 0.242199 | 0.245259 | 0.241526 
InterfModel=0 58 | 0.932537 | 0.245172 | 0.248241 | 0.240712 | 0.24455 | 0.242871 
InterfModel=0 59 | 0.9325 | 0.244152 | 0.248235 | 0.241568 | 0.243757 | 0.241576 
InterfModel=0 60 | 0.932487 | 0.244973 | 0.247357 | 0.241725 | 0.243731 | 0.240956 
InterfModel=0 61 | 0.932519 | 0.243259 | 0.248415 | 0.242014 | 0.245411 | 0.243376 
InterfModel=0 62 | 0.932474 | 0.244276 | 0.248017 | 0.242369 | 0.24567 | 0.242302 
InterfModel=0 63 | 0.93245 | 0.245767 | 0.247834 | 0.241963 | 0.243368 | 0.239002 
InterfModel=0 64 | 0.932531 | 0.244979 | 0.247889 | 0.242455 | 0.244973 | 0.241709 
InterfModel=0 65 | 0.932543 | 0.2455 | 0.248427 | 0.243085 | 0.244142 | 0.242547 
InterfModel=0 66 | 0.932562 | 0.246329 | 0.248207 | 0.242295 | 0.245298 | 0.239917 
InterfModel=0 67 | 0.93248 | 0.244663 | 0.247719 | 0.241177 | 0.243959 | 0.241529 
InterfModel=0 68 | 0.932517 | 0.24484 | 0.247768 | 0.239967 | 0.245282 | 0.241947 
InterfModel=0 69 | 0.93246 | 0.244966 | 0.248168 | 0.241557 | 0.245417 | 0.241877 
InterfModel=0 70 | 0.932428 | 0.244982 | 0.247487 | 0.24005 | 0.243964 | 0.240302 
InterfModel=0 71 | 0.932502 | 0.244405 | 0.248405 | 0.241935 | 0.244461 | 0.241702 
InterfModel=0 72 | 0.932458 | 0.245205 | 0.247579 | 0.240825 | 0.245667 | 0.242247 
InterfModel=0 73 | 0.932541 | 0.244959 | 0.248196 | 0.242047 | 0.244528 | 0.24242 
InterfModel=0 74 | 0.932489 | 0.245048 | 0.247598 | 0.243391 | 0.244049 | 0.241431 
InterfModel=0 75 | 0.932504 | 0.244512 | 0.247783 | 0.240555 | 0.244948 | 0.241148 
InterfModel=0 76 | 0.932458 | 0.24536 | 0.248215 | 0.242655 | 0.243842 | 0.241242 
InterfModel=0 77 | 0.932423 | 0.244803 | 0.247857 | 0.242469 | 0.243925 | 0.2417 
InterfModel=0 78 | 0.932452 | 0.245158 | 0.247503 | 0.243319 | 0.245122 | 0.241918 
InterfModel=0 79 | 0.932527 | 0.24516 | 0.247913 | 0.243283 | 0.244948 | 0.243035 
InterfModel=0 80 | 0.932547 | 0.244124 | 0.248097 | 0.241843 | 0.243015 | 0.241999 
InterfModel=0 81 | 0.932423 | 0.244773 | 0.247446 | 0.239374 | 0.244266 | 0.243642 
InterfModel=0 82 | 0.932552 | 0.244912 | 0.248047 | 0.242007 | 0.245349 | 0.242716 
InterfModel=0 83 | 0.932444 | 0.244133 | 0.247478 | 0.243902 | 0.244492 | 0.242364 
InterfModel=0 84 | 0.932465 | 0.245445 | 0.247728 | 0.24418 | 0.244456 | 0.243063 
InterfModel=0 85 | 0.932447 | 0.244946 | 0.247461 | 0.242122 | 0.244263 | 0.241726 
InterfModel=0 86 | 0.932557 | 0.24467 | 0.247597 | 0.241482 | 0.244833 | 0.244136 
InterfModel=0 87 | 0.932445 | 0.242903 | 0.247798 | 0.240132 | 0.244537 | 0.242165 
InterfModel=0 88 | 0.932466 | 0.246739 | 0.248419 | 0.242748 | 0.244053 | 0.243554 
InterfModel=0 89 | 0.93254 | 0.2453 | 0.247992 | 0.240896 | 0.244449 | 0.243475 
InterfModel=0 90 | 0.932529 | 0.245109 | 0.247751 | 0.240589 | 0.243885 | 0.242293 
InterfModel=0 91 | 0.932561 | 0.24553 | 0.248386 | 0.240967 | 0.244386 | 0.243263 
InterfModel=0 92 | 0.932467 | 0.245119 | 0.247784 | 0.239956 | 0.244159 | 0.24188 
InterfModel=0 93 | 0.932509 | 0.244123 | 0.248024 | 0.240464 | 0.244368 | 0.24235 
InterfModel=0 94 | 0.932477 | 0.24493 | 0.248429 | 0.243127 | 0.244434 | 0.240197 
InterfModel=0 95 | 0.932474 | 0.243039 | 0.24734 | 0.241802 | 0.242662 | 0.241684 
InterfModel=0 96 | 0.932511 | 0.245237 | 0.248226 | 0.242227 | 0.243857 | 0.241129 
InterfModel=0 97 | 0.932537 | 0.244963 | 0.247919 | 0.242803 | 0.244266 | 0.242571 
InterfModel=0 98 | 0.932508 | 0.245259 | 0.247976 | 0.241706 | 0.245418 | 0.243327 
InterfModel=0 99 | 0.932546 | 0.245499 | 0.247854 | 0.241834 | 0.243233 | 0.242084 
InterfModel=1 0 | 0.932622 | 0.24496 | 0.247865 | 0.242015 | 0.244621 | 0.241871 
InterfModel=1 1 | 0.932616 | 0.245755 | 0.247352 | 0.240846 | 0.243764 | 0.242409 
InterfModel=1 2 | 0.932526 | 0.244913 | 0.248248 | 0.241633 | 0.245105 | 0.24165 
InterfModel=1 3 | 0.932622 | 0.244386 | 0.248249 | 0.241757 | 0.245584 | 0.243846 
InterfModel=1 4 | 0.932574 | 0.245563 | 0.247208 | 0.2438 | 0.244609 | 0.242652 
InterfModel=1 5 | 0.932547 | 0.244108 | 0.248209 | 0.242178 | 0.245598 | 0.241074 
InterfModel=1 6 | 0.932519 | 0.243089 | 0.247793 | 0.241071 | 0.243962 | 0.239943 
InterfModel=1 7 | 0.932573 | 0.244847 | 0.248051 | 0.241116 | 0.243852 | 0.242448 
InterfModel=1 8 | 0.932529 | 0.244089 | 0.247161 | 0.242596 | 0.245794 | 0.242581 
InterfModel=1 9 | 0.932557 | 0.244732 | 0.248183 | 0.243375 | 0.244742 | 0.244073 
InterfModel=1 10 | 0.93259 | 0.242868 | 0.247989 | 0.241642 | 0.244864 | 0.241663 
InterfModel=1 11 | 0.932527 | 0.244944 | 0.247994 | 0.242378 | 0.24468 | 0.241031 
InterfModel=1 12 | 0.932536 | 0.24465 | 0.248177 | 0.240242 | 0.243931 | 0.240209 
InterfModel=1 13 | 0.932613 | 0.245383 | 0.248209 | 0.241886 | 0.245214 | 0.241898 
InterfModel=1 14 | 0.93263 | 0.244251 | 0.247924 | 0.24175 | 0.24568 | 0.242374 
InterfModel=1 15 | 0.9325 | 0.243371 | 0.247498 | 0.24007 | 0.245428 | 0.242285 
InterfModel=1 16 | 0.932507 | 0.243375 | 0.247648 | 0.241682 | 0.245431 | 0.242952 
InterfModel=1 17 | 0.932595 | 0.243577 | 0.248098 | 0.24314 | 0.24444 | 0.242312 
InterfModel=1 18 | 0.932577 | 0.2454 | 0.247861 | 0.239615 | 0.244444 | 0.243034 
InterfModel=1 19 | 0.932578 | 0.244953 | 0.248172 | 0.240356 | 0.244525 | 0.243496 
InterfModel=1 20 | 0.932608 | 0.244724 | 0.248127 | 0.241855 | 0.245235 | 0.241665 
InterfModel=1 21 | 0.932489 | 0.243524 | 0.247465 | 0.239181 | 0.24417 | 0.241785 
InterfModel=1 22 | 0.932609 | 0.244003 | 0.248084 | 0.242277 | 0.245143 | 0.24272 
InterfModel=1 23 | 0.932625 | 0.244499 | 0.247997 | 0.241987 | 0.245397 | 0.243004 
InterfModel=1 24 | 0.932504 | 0.244529 | 0.247371 | 0.242203 | 0.244214 | 0.241813 
InterfModel=1 25 | 0.932628 | 0.243568 | 0.247761 | 0.242719 | 0.244457 | 0.242789 
InterfModel=1 26 | 0.932589 | 0.244462 | 0.248261 | 0.243584 | 0.244074 | 0.243353 
InterfModel=1 27 | 0.932619 | 0.245532 | 0.247711 | 0.24047 | 0.245514 | 0.242564 
InterfModel=1 28 | 0.932596 | 0.244152 | 0.247759 | 0.241339 | 0.24644 | 0.24264 
InterfModel=1 29 | 0.932551 | 0.243922 | 0.248029 | 0.241116 | 0.244255 | 0.241291 
InterfModel=1 30 | 0.932526 | 0.244454 | 0.247601 | 0.241123 | 0.245066 | 0.242495 
InterfModel=1 31 | 0.932599 | 0.244731 | 0.247864 | 0.241592 | 0.244953 | 0.240914 
InterfModel=1 32 | 0.932637 | 0.244116 | 0.248229 | 0.240441 | 0.24591 | 0.240984 
InterfModel=1 33 | 0.932576 | 0.244541 | 0.247205 | 0.24107 | 0.244572 | 0.242326 
InterfModel=1 34 | 0.932584 | 0.244283 | 0.247538 | 0.240249 | 0.245088 | 0.241091 
InterfModel=1 35 | 0.93252 | 0.244162 | 0.247387 | 0.241124 | 0.244123 | 0.241854 
InterfModel=1 36 | 0.932518 | 0.245303 | 0.247386 | 0.242871 | 0.244513 | 0.242538 
InterfModel=1 37 | 0.932617 | 0.245264 | 0.24769 | 0.241458 | 0.245169 | 0.243096 
InterfModel=1 38 | 0.932559 | 0.244661 | 0.247363 | 0.241657 | 0.245859 | 0.243226 
InterfModel=1 39 | 0.932506 | 0.243526 | 0.247695 | 0.2418 | 0.243893 | 0.242846 
InterfModel=1 40 | 0.932552 | 0.243084 | 0.248188 | 0.239807 | 0.244021 | 0.241639 
InterfModel=1 41 | 0.932533 | 0.245197 | 0.24754 | 0.239419 | 0.24355 | 0.24201 
InterfModel=1 42 | 0.932521 | 0.244613 | 0.248016 | 0.239548 | 0.24372 | 0.241596 
InterfModel=1 43 | 0.93259 | 0.245203 | 0.247719 | 0.24136 | 0.244805 | 0.240609 
InterfModel=1 44 | 0.932509 | 0.244113 | 0.247836 | 0.240554 | 0.243775 | 0.241469 
InterfModel=1 45 | 0.932544 | 0.244624 | 0.247576 | 0.241519 | 0.243114 | 0.241829 
InterfModel=1 46 | 0.932586 | 0.245476 | 0.248019 | 0.240896 | 0.244029 | 0.243138 
InterfModel=1 47 | 0.93255 | 0.244842 | 0.247773 | 0.240832 | 0.245569 | 0.241988 
InterfModel=1 48 | 0.932575 | 0.245655 | 0.247326 | 0.241848 | 0.245239 | 0.24244 
InterfModel=1 49 | 0.932579 | 0.244677 | 0.24827 | 0.242701 | 0.245974 | 0.243198 
InterfModel=1 50 | 0.932611 | 0.243787 | 0.247595 | 0.240669 | 0.245062 | 0.242935 
InterfModel=1 51 | 0.932549 | 0.244631 | 0.247446 | 0.243247 | 0.244578 | 0.242332 
InterfModel=1 52 | 0.932641 | 0.245958 | 0.248225 | 0.24069 | 0.245367 | 0.243245 
InterfModel=1 53 | 0.932491 | 0.244419 | 0.24758 | 0.23915 | 0.244543 | 0.243072 
InterfModel=1 54 | 0.932517 | 0.244698 | 0.247313 | 0.240875 | 0.244954 | 0.242751 
InterfModel=1 55 | 0.93253 | 0.242711 | 0.247457 | 0.240803 | 0.243438 | 0.240584 
InterfModel=1 56 | 0.93258 | 0.24479 | 0.248073 | 0.241876 | 0.244713 | 0.239707 
InterfModel=1 57 | 0.932496 | 0.243253 | 0.247465 | 0.241841 | 0.24451 | 0.241218 
InterfModel=1 58 | 0.932571 | 0.245018 | 0.247577 | 0.241343 | 0.244567 | 0.242078 
InterfModel=1 59 | 0.932506 | 0.243059 | 0.247713 | 0.242441 | 0.24397 | 0.243031 
