CastaliaResults -i saida.txt -s Packets received per node -n --all -o2                                                                       

Application:Packets received per node
 | index=1 | index=2 | index=3 | index=4 | index=5
InterfModel=0 | 2952.67 | 2969.42 | 4423.83 | 6099.11 | 5888.7 
InterfModel=1 | 2892.26 | 2911.28 | 4339.56 | 5078.71 | 4753.03 
InterfModel=2 | 2919.04 | 2970.26 | 4370.98 | 5602.02 | 5193.05 
Application:Packets received per node - all values
 | index=1 | index=2 | index=3 | index=4 | index=5
InterfModel=0 0 | 2946 | 2959 | 4422 | 6010 | 6013 
InterfModel=0 1 | 2956 | 2967 | 4411 | 6069 | 5879 
InterfModel=0 2 | 2947 | 2968 | 4434 | 6141 | 5770 
InterfModel=0 3 | 2953 | 2966 | 4438 | 6199 | 5827 
InterfModel=0 4 | 2949 | 2962 | 4421 | 6185 | 5861 
InterfModel=0 5 | 2946 | 2974 | 4413 | 5928 | 6047 
InterfModel=0 6 | 2934 | 2970 | 4423 | 6068 | 5907 
InterfModel=0 7 | 2956 | 2969 | 4434 | 6185 | 5917 
InterfModel=0 8 | 2957 | 2973 | 4419 | 6314 | 5760 
InterfModel=0 9 | 2954 | 2971 | 4405 | 6032 | 5947 
InterfModel=0 10 | 2959 | 2976 | 4410 | 5959 | 5946 
InterfModel=0 11 | 2946 | 2971 | 4414 | 6119 | 5790 
InterfModel=0 12 | 2960 | 2967 | 4435 | 6082 | 5907 
InterfModel=0 13 | 2960 | 2962 | 4421 | 6145 | 5839 
InterfModel=0 14 | 2938 | 2970 | 4428 | 6055 | 5955 
InterfModel=0 15 | 2945 | 2976 | 4421 | 6146 | 5843 
InterfModel=0 16 | 2961 | 2968 | 4428 | 6194 | 5833 
InterfModel=0 17 | 2949 | 2968 | 4430 | 6122 | 5847 
InterfModel=0 18 | 2965 | 2972 | 4423 | 6165 | 5826 
InterfModel=0 19 | 2953 | 2965 | 4436 | 6069 | 5938 
InterfModel=0 20 | 2959 | 2971 | 4417 | 6085 | 5873 
InterfModel=0 21 | 2951 | 2964 | 4431 | 6059 | 6000 
InterfModel=0 22 | 2953 | 2962 | 4431 | 6080 | 5918 
InterfModel=0 23 | 2942 | 2974 | 4431 | 6223 | 5831 
InterfModel=0 24 | 2960 | 2967 | 4434 | 6160 | 5882 
InterfModel=0 25 | 2958 | 2963 | 4424 | 6031 | 5862 
InterfModel=0 26 | 2952 | 2963 | 4424 | 6157 | 5933 
InterfModel=0 27 | 2959 | 2969 | 4434 | 6062 | 5930 
InterfModel=0 28 | 2942 | 2961 | 4403 | 6124 | 5885 
InterfModel=0 29 | 2950 | 2970 | 4417 | 6199 | 5860 
InterfModel=0 30 | 2960 | 2978 | 4425 | 6143 | 5807 
InterfModel=0 31 | 2950 | 2970 | 4422 | 6102 | 6023 
InterfModel=0 32 | 2964 | 2961 | 4422 | 6172 | 5850 
InterfModel=0 33 | 2960 | 2964 | 4441 | 6104 | 5835 
InterfModel=0 34 | 2956 | 2976 | 4415 | 6052 | 5910 
InterfModel=0 35 | 2951 | 2974 | 4429 | 6129 | 5832 
InterfModel=0 36 | 2948 | 2970 | 4439 | 6214 | 5869 
InterfModel=0 37 | 2943 | 2960 | 4427 | 6026 | 6111 
InterfModel=0 38 | 2955 | 2967 | 4415 | 5935 | 5942 
InterfModel=0 39 | 2954 | 2965 | 4418 | 6087 | 5904 
InterfModel=0 40 | 2949 | 2961 | 4422 | 6200 | 5840 
InterfModel=0 41 | 2956 | 2979 | 4427 | 6133 | 5886 
InterfModel=0 42 | 2951 | 2971 | 4430 | 6091 | 5873 
InterfModel=0 43 | 2951 | 2962 | 4428 | 6183 | 5774 
InterfModel=0 44 | 2948 | 2969 | 4419 | 6072 | 5834 
InterfModel=0 45 | 2959 | 2976 | 4417 | 6238 | 5754 
InterfModel=0 46 | 2963 | 2971 | 4424 | 6040 | 5819 
InterfModel=0 47 | 2946 | 2977 | 4435 | 5880 | 6057 
InterfModel=0 48 | 2947 | 2964 | 4432 | 5991 | 6007 
InterfModel=0 49 | 2945 | 2976 | 4426 | 6042 | 5979 
InterfModel=0 50 | 2953 | 2972 | 4432 | 6190 | 5831 
InterfModel=0 51 | 2947 | 2964 | 4413 | 6072 | 5871 
InterfModel=0 52 | 2962 | 2974 | 4411 | 6066 | 5950 
InterfModel=0 53 | 2951 | 2967 | 4403 | 6131 | 5838 
InterfModel=0 54 | 2941 | 2969 | 4431 | 6060 | 5856 
InterfModel=0 55 | 2958 | 2973 | 4414 | 6084 | 5805 
InterfModel=0 56 | 2955 | 2968 | 4412 | 6234 | 5783 
InterfModel=0 57 | 2963 | 2970 | 4420 | 6207 | 5907 
InterfModel=0 58 | 2954 | 2973 | 4415 | 6195 | 5855 
InterfModel=0 59 | 2959 | 2974 | 4410 | 6128 | 5921 
InterfModel=0 60 | 2945 | 2962 | 4445 | 6023 | 5956 
InterfModel=0 61 | 2936 | 2972 | 4431 | 6142 | 5874 
InterfModel=0 62 | 2948 | 2976 | 4422 | 6130 | 5841 
InterfModel=0 63 | 2945 | 2963 | 4429 | 5961 | 5928 
InterfModel=0 64 | 2963 | 2976 | 4421 | 6170 | 5822 
InterfModel=0 65 | 2969 | 2970 | 4418 | 6246 | 5736 
InterfModel=0 66 | 2956 | 2973 | 4411 | 6147 | 5853 
InterfModel=0 67 | 2952 | 2963 | 4423 | 6059 | 5916 
InterfModel=0 68 | 2952 | 2971 | 4411 | 6081 | 5942 
InterfModel=0 69 | 2948 | 2976 | 4433 | 6100 | 5822 
InterfModel=0 70 | 2953 | 2966 | 4415 | 6117 | 5865 
InterfModel=0 71 | 2959 | 2973 | 4401 | 5980 | 5924 
InterfModel=0 72 | 2960 | 2973 | 4434 | 6073 | 5879 
InterfModel=0 73 | 2956 | 2969 | 4406 | 6006 | 5990 
InterfModel=0 74 | 2942 | 2962 | 4425 | 6090 | 5954 
InterfModel=0 75 | 2938 | 2970 | 4432 | 6102 | 5974 
InterfModel=0 76 | 2948 | 2969 | 4425 | 6153 | 5865 
InterfModel=0 77 | 2946 | 2965 | 4436 | 5999 | 6033 
InterfModel=0 78 | 2961 | 2976 | 4403 | 6047 | 5966 
InterfModel=0 79 | 2943 | 2975 | 4441 | 6157 | 5865 
InterfModel=0 80 | 2950 | 2972 | 4434 | 5962 | 6035 
InterfModel=0 81 | 2950 | 2967 | 4426 | 6059 | 5867 
InterfModel=0 82 | 2941 | 2967 | 4423 | 6117 | 5895 
InterfModel=0 83 | 2955 | 2966 | 4425 | 6048 | 5819 
InterfModel=0 84 | 2966 | 2968 | 4416 | 6025 | 6019 
InterfModel=0 85 | 2952 | 2975 | 4445 | 6091 | 5895 
InterfModel=0 86 | 2968 | 2975 | 4421 | 6076 | 5823 
InterfModel=0 87 | 2961 | 2966 | 4434 | 5988 | 6009 
InterfModel=0 88 | 2955 | 2968 | 4419 | 5988 | 6010 
InterfModel=0 89 | 2944 | 2975 | 4418 | 6129 | 5759 
InterfModel=0 90 | 2957 | 2966 | 4429 | 6185 | 5830 
InterfModel=0 91 | 2957 | 2967 | 4419 | 6060 | 5913 
InterfModel=0 92 | 2953 | 2972 | 4418 | 6166 | 5802 
InterfModel=0 93 | 2962 | 2969 | 4432 | 6073 | 5877 
InterfModel=0 94 | 2944 | 2975 | 4420 | 6135 | 5795 
InterfModel=0 95 | 2959 | 2972 | 4431 | 6084 | 5765 
InterfModel=0 96 | 2953 | 2972 | 4436 | 6150 | 5893 
InterfModel=0 97 | 2953 | 2978 | 4431 | 6056 | 5960 
InterfModel=0 98 | 2947 | 2967 | 4440 | 6102 | 5914 
InterfModel=0 99 | 2961 | 2972 | 4418 | 6066 | 5836 
InterfModel=1 0 | 2904 | 2902 | 4346 | 5019 | 4670 
InterfModel=1 1 | 2895 | 2922 | 4374 | 5253 | 4707 
InterfModel=1 2 | 2900 | 2903 | 4329 | 5085 | 4782 
InterfModel=1 3 | 2889 | 2889 | 4338 | 5121 | 4725 
InterfModel=1 4 | 2900 | 2918 | 4360 | 5134 | 4768 
InterfModel=1 5 | 2898 | 2907 | 4302 | 5153 | 4802 
InterfModel=1 6 | 2886 | 2920 | 4360 | 5013 | 4709 
InterfModel=1 7 | 2909 | 2895 | 4343 | 4904 | 4873 
InterfModel=1 8 | 2882 | 2920 | 4335 | 5094 | 4850 
InterfModel=1 9 | 2899 | 2897 | 4347 | 5065 | 4801 
InterfModel=1 10 | 2895 | 2917 | 4332 | 5063 | 4722 
InterfModel=1 11 | 2905 | 2914 | 4333 | 5018 | 4794 
InterfModel=1 12 | 2879 | 2908 | 4352 | 5184 | 4768 
InterfModel=1 13 | 2882 | 2917 | 4343 | 5004 | 4749 
InterfModel=1 14 | 2884 | 2908 | 4337 | 5054 | 4736 
InterfModel=1 15 | 2889 | 2905 | 4332 | 5109 | 4713 
InterfModel=1 16 | 2899 | 2917 | 4362 | 5038 | 4800 
InterfModel=1 17 | 2902 | 2916 | 4330 | 5060 | 4810 
InterfModel=1 18 | 2887 | 2920 | 4318 | 5193 | 4734 
InterfModel=1 19 | 2881 | 2904 | 4316 | 5167 | 4727 
InterfModel=1 20 | 2911 | 2917 | 4332 | 5088 | 4730 
InterfModel=1 21 | 2889 | 2920 | 4352 | 5059 | 4659 
InterfModel=1 22 | 2892 | 2906 | 4335 | 4952 | 4816 
InterfModel=1 23 | 2892 | 2922 | 4332 | 5058 | 4682 
InterfModel=1 24 | 2891 | 2930 | 4334 | 5090 | 4779 
InterfModel=1 25 | 2898 | 2940 | 4350 | 5079 | 4805 
InterfModel=1 26 | 2892 | 2919 | 4368 | 5094 | 4698 
InterfModel=1 27 | 2911 | 2914 | 4331 | 5079 | 4845 
InterfModel=1 28 | 2899 | 2920 | 4319 | 5052 | 4810 
InterfModel=1 29 | 2896 | 2910 | 4339 | 5080 | 4839 
InterfModel=1 30 | 2889 | 2921 | 4345 | 5079 | 4765 
InterfModel=1 31 | 2899 | 2930 | 4360 | 5319 | 4650 
InterfModel=1 32 | 2909 | 2907 | 4375 | 4988 | 4694 
InterfModel=1 33 | 2878 | 2904 | 4323 | 4989 | 4817 
InterfModel=1 34 | 2898 | 2913 | 4326 | 5155 | 4733 
InterfModel=1 35 | 2901 | 2918 | 4357 | 5146 | 4762 
InterfModel=1 36 | 2881 | 2912 | 4349 | 5088 | 4706 
InterfModel=1 37 | 2886 | 2907 | 4347 | 5112 | 4707 
InterfModel=1 38 | 2909 | 2896 | 4330 | 4893 | 4867 
InterfModel=1 39 | 2907 | 2907 | 4315 | 5066 | 4829 
InterfModel=1 40 | 2895 | 2899 | 4341 | 5131 | 4766 
InterfModel=1 41 | 2880 | 2914 | 4337 | 5118 | 4789 
InterfModel=1 42 | 2911 | 2904 | 4331 | 5099 | 4657 
InterfModel=1 43 | 2882 | 2912 | 4337 | 5226 | 4607 
InterfModel=1 44 | 2887 | 2899 | 4320 | 5023 | 4737 
InterfModel=1 45 | 2883 | 2923 | 4343 | 5024 | 4834 
InterfModel=1 46 | 2888 | 2908 | 4347 | 5120 | 4755 
InterfModel=1 47 | 2910 | 2921 | 4342 | 5151 | 4707 
InterfModel=1 48 | 2883 | 2892 | 4346 | 5214 | 4679 
InterfModel=1 49 | 2883 | 2904 | 4350 | 5125 | 4748 
InterfModel=1 50 | 2895 | 2903 | 4342 | 5082 | 4649 
InterfModel=1 51 | 2878 | 2913 | 4317 | 5028 | 4792 
InterfModel=1 52 | 2912 | 2918 | 4322 | 5095 | 4793 
InterfModel=1 53 | 2890 | 2917 | 4333 | 5119 | 4742 
InterfModel=1 54 | 2894 | 2905 | 4319 | 4999 | 4823 
InterfModel=1 55 | 2883 | 2914 | 4313 | 5155 | 4773 
InterfModel=1 56 | 2892 | 2913 | 4353 | 5017 | 4799 
